eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/fisher_eps_step_0,train/fisher_eps_step_1,train/fisher_eps_step_2,train/fisher_eps_step_3,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,57344,0.021050716655736323,0.22504882514476776,0.24721679091453552,0.26069337129592896,0.2708496153354645,0.2509521484375,34.08210911750793,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,28,0.0002834016393442623,1000.0,-348.79312178612344,2,-0.03513577690027887,11.749223347008229,63.118815898895264
nan,nan,59392,0.03037037900721771,0.310302734375,0.3395019471645355,0.35468751192092896,0.3663085997104645,0.3427001953125,34.24620082378387,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,29,0.00028278688524590163,1000.0,-283.455649778875,2,-0.03799096150323748,8.448464301228523,64.70981478691101
nan,nan,61440,0.02174637328789686,0.23916015028953552,0.2511230409145355,0.2957519590854645,0.30415040254592896,0.27254638671875,34.12117931842804,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,30,0.00028217213114754093,1000.0,-342.2555529359755,2,-0.03778630540764425,12.138757288455963,66.30319690704346
-105.39731752365371,61.517134525081445,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.78498101234436
nan,nan,63488,0.024967000406468286,0.27241212129592896,0.283447265625,0.30781251192092896,0.32343751192092896,0.29677734375,34.382736682891846,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,31,0.0002815573770491803,1000.0,-243.47310205621994,2,-0.03755500018596649,11.137459754943848,71.56733083724976
nan,nan,65536,0.023633563467592468,0.26582032442092896,0.28339844942092896,0.29633790254592896,0.30961912870407104,0.2887939453125,34.0894003033638,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,32,0.0002809426229508196,1000.0,-317.47029789487374,2,-0.03912470524956006,10.482188580930233,73.27377796173096
nan,nan,67584,0.01653770015691407,0.20659179985523224,0.21738281846046448,0.22836914658546448,0.24296875298023224,0.223828125,34.06079542636871,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,33,0.00028032786885245903,1000.0,-232.57934675721248,2,-0.03597504250938073,14.894403928518296,74.90518474578857
nan,nan,69632,0.032486144269205396,0.3226562440395355,0.34052735567092896,0.34736329317092896,0.36738282442092896,0.344482421875,34.17880465984344,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,34,0.0002797131147540983,1000.0,-189.37130152715866,2,-0.037308753447723574,9.294606964290143,76.51247477531433
nan,nan,71680,0.02440449716814328,0.26679688692092896,0.2882324159145355,0.2965331971645355,0.32548826932907104,0.2942626953125,34.10989302396774,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,35,0.00027909836065573767,1000.0,-296.67941973867596,2,-0.040845761288073844,10.160674010217189,78.22274589538574
-78.18553391707296,62.51781343016544,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.70949792861938
nan,nan,73728,0.016305058005673344,0.20883789658546448,0.20703125,0.23256835341453552,0.23261718451976776,0.220263671875,34.19686716794968,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,36,0.000278483606557377,1000.0,-321.8132541297342,2,-0.03642881189007312,15.948806037008762,83.52928066253662
nan,nan,75776,0.030381365404900863,0.30546873807907104,0.3109374940395355,0.355712890625,0.37211912870407104,0.3360595703125,34.31201459169388,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,37,0.00027786885245901637,1000.0,-234.06974205619898,2,-0.040540393919218334,7.9730820171535015,85.2789077758789
nan,nan,77824,0.02830162431273493,0.2889648377895355,0.315185546875,0.34003907442092896,0.3472656309604645,0.32286376953125,34.143613398075104,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,38,0.0002772540983606557,1000.0,-249.60805852338123,2,-0.04031568216450978,7.346684441715479,87.01812362670898
