eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/eps_step_0,train/eps_step_1,train/eps_step_2,train/eps_step_3,train/iteration,train/kl_budget_step_0,train/kl_budget_step_1,train/kl_budget_step_2,train/kl_budget_step_3,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,1081344,0.0025461314273343303,0.14106445014476776,0.141357421875,0.141571044921875,0.14191894233226776,0.14147796630859374,17.3873113155365,0.09067737311124802,0.09264817833900452,0.10203375667333603,0.1125490814447403,33,0.0041271657682955265,0.004304289817810059,0.005218484438955784,0.0063500599935650826,0.00028032786885245903,1001.0,-242.72095350161266,32,-0.004971957884845324,3.5825637847185137,924.0837800502777
nan,nan,1114112,0.0025529327419462787,0.1429443359375,0.14153443276882172,0.14127197861671448,0.14288941025733948,0.1421600341796875,17.448437622189523,0.08976616710424423,0.09274967014789581,0.10268735140562057,0.1126350536942482,34,0.004042643588036299,0.004312744829803705,0.005285773426294327,0.006358838174492121,0.0002797131147540983,1001.0,-251.02361867170742,32,-0.005081483630056028,3.581498275697231,947.7607936859131
nan,nan,1146880,0.0027858136992108483,0.15577392280101776,0.15469971299171448,0.15568847954273224,0.15578614175319672,0.155487060546875,17.44335866570473,0.0894755944609642,0.09173576533794403,0.10215665400028229,0.11412564665079117,35,0.004017379600554705,0.004221105016767979,0.00523223914206028,0.006529276259243488,0.00027909836065573767,1001.0,-250.8213702900414,32,-0.005051157303387299,3.1047814350575207,971.5284926891327
nan,nan,1179648,0.002579971651903179,0.14201660454273224,0.14200440049171448,0.14276123046875,0.144378662109375,0.14279022216796874,17.440034544467927,0.08792828768491745,0.09115515649318695,0.10287429392337799,0.11515896767377853,36,0.003880356205627322,0.004166696686297655,0.005306076258420944,0.006646870169788599,0.000278483606557377,1001.0,-235.27402919833764,32,-0.005016249730397248,3.5393947929143907,995.4518210887909
nan,nan,1212416,0.0026454987241777417,0.1461181640625,0.14451293647289276,0.14569702744483948,0.14780274033546448,0.14603271484375,17.467743715643884,0.0888383612036705,0.09174841642379761,0.10293711721897125,0.11391311138868332,37,0.0039608292281627655,0.0042228493839502335,0.005310822278261185,0.006505498196929693,0.00027786885245901637,1001.0,-244.3041882396216,32,-0.004856170607672539,3.5125010538846255,1018.6906177997589
nan,nan,1245184,0.0025619119441216754,0.14222411811351776,0.14173583686351776,0.1431884765625,0.14304199814796448,0.142547607421875,17.395385214686392,0.08960451185703278,0.09273302555084229,0.10223877429962158,0.11318931728601456,38,0.004027749877423048,0.004312796052545309,0.005238173063844442,0.006421280093491077,0.0002772540983606557,1001.0,-246.75045530403327,32,-0.004808174227946438,3.3103954281657932,1042.2665951251984
nan,nan,1277952,0.00256756824637705,0.14079590141773224,0.14122314751148224,0.14154663681983948,0.14284057915210724,0.1416015625,17.426491263508797,0.08858445286750793,0.09191536903381348,0.1030326634645462,0.11395569145679474,39,0.00393630750477314,0.004235871136188507,0.005320513155311346,0.006507308222353458,0.00027663934426229507,1001.0,-235.39039711445767,32,-0.005272340860392433,3.379508490860462,1065.5516953468323
nan,nan,1310720,0.002588188541903946,0.14357911050319672,0.14354859292507172,0.14398804306983948,0.14345093071460724,0.14364166259765626,17.42280214726925,0.0880635604262352,0.09179791063070297,0.10272940248250961,0.1146339699625969,40,0.0038920931983739138,0.004227641504257917,0.005290638189762831,0.006589627359062433,0.0002760245901639344,1001.0,-244.57223135593813,32,-0.004875811089004855,3.3747400630265476,1089.0262050628662
nan,nan,1343488,0.002498785646912438,0.13792113959789276,0.135833740234375,0.139312744140625,0.13800048828125,0.13776702880859376,17.423382022976874,0.08583096414804459,0.08954077959060669,0.103018619120121,0.11780526489019394,41,0.003699829801917076,0.004022534471005201,0.005320065654814243,0.006957569159567356,0.00027540983606557377,1001.0,-256.2321782847782,32,-0.005083450474921846,3.905082653090358,1112.1101279258728
nan,nan,1376256,0.0028175776484204106,0.154083251953125,0.15333862602710724,0.15328370034694672,0.15645141899585724,0.15428924560546875,17.40670673251152,0.08902938663959503,0.09140127152204514,0.10231735557317734,0.1145760640501976,42,0.003978962078690529,0.00419019116088748,0.005249787122011185,0.006581059191375971,0.0002747950819672131,1001.0,-224.2719130763279,32,-0.004951185030950001,3.516024623811245,1135.1004071235657
