eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,79872,0.14900157162046526,0.34233397245407104,0.3797851502895355,0.3610595703125,17.271025466918946,39,0.00027663934426229507,1000.0,-228.73246650777884,2,-0.10405444760690444,9.79518876671791,183.5251500606537
nan,nan,81920,0.20626902442018036,0.39990234375,0.4390625059604645,0.419482421875,17.429690724611284,40,0.0002760245901639344,1000.0,-207.2729629849681,2,-0.10439233371580485,6.930603317916393,186.89440512657166
-173.18260509301678,80.22481503032512,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192.12378311157227
nan,nan,83968,0.2427260074124206,0.4488769471645355,0.4762206971645355,0.462548828125,17.44140154719353,41,0.00027540983606557377,1000.0,-210.58154919424965,2,-0.09498147033154965,6.4543689176440235,194.8437659740448
nan,nan,86016,0.10133102258841972,0.28657227754592896,0.3131347596645355,0.299853515625,17.26359740495682,42,0.0002747950819672131,1000.0,-301.47178697935647,3,-0.107072618289385,17.82941402643919,198.21747708320618
nan,nan,88064,0.2739545671021915,0.4674316346645355,0.4869628846645355,0.477197265625,17.55565764904022,43,0.0002741803278688524,1000.0,-248.038115850295,2,-0.09859602483629715,5.799782866984605,201.0559799671173
nan,nan,90112,0.09783151196897961,0.2789062559604645,0.293701171875,0.2863037109375,17.246532666683198,44,0.00027356557377049176,1000.0,-445.57486233842246,2,-0.09610470555780921,17.53319631665945,203.72783088684082
-204.43546618398932,79.96229577481759,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,207.71623015403748
nan,nan,92160,0.11411954992363463,0.2992187440395355,0.33251953125,0.315869140625,17.316640841960908,45,0.0002729508196721311,1000.0,-260.7760681361908,2,-0.10898938431637362,14.492490337789059,210.4096748828888
nan,nan,94208,0.11403459195571486,0.29082030057907104,0.3399902284145355,0.3154052734375,17.234350943565367,46,0.00027233606557377046,1000.0,-172.00645737900408,2,-0.0974896362517029,14.50743824839592,213.2124981880188
nan,nan,96256,0.21276898471842287,0.42534178495407104,0.45698243379592896,0.441162109375,17.42080599665642,47,0.0002717213114754098,1000.0,-183.5602224810542,2,-0.10645695120037998,8.208689403533935,216.7919249534607
nan,nan,98304,0.11016330947895767,0.28125,0.3267578184604645,0.30400390625,17.253414303064346,48,0.00027110655737704915,1000.0,-166.0197236811993,2,-0.09908215299365111,18.37649703025818,219.99443197250366
nan,nan,100352,0.1011398540911614,0.27314454317092896,0.2948242127895355,0.283984375,17.23455484509468,49,0.0002704918032786885,1000.0,-294.252785260586,2,-0.10304225742584094,23.70759172439575,222.96718311309814
-214.67729420187425,90.6753682800955,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,228.00696325302124
nan,nan,102400,0.18047754498693394,0.3631347715854645,0.4081054627895355,0.3856201171875,17.391307598352434,50,0.00026987704918032785,1000.0,-256.5580375800118,2,-0.09711622313479892,15.902219292521476,230.7561058998108
nan,nan,104448,0.2567862385796616,0.45415037870407104,0.4893554747104645,0.4717529296875,17.548182916641235,51,0.00026926229508196715,1000.0,-212.27211615293965,2,-0.10259600176359526,7.1992021054029465,233.2493600845337
nan,nan,106496,0.20366693467658478,0.404052734375,0.44038087129592896,0.422216796875,17.542054438591002,52,0.00026864754098360655,1000.0,-218.64364412647794,2,-0.10385922465356998,10.629671259224414,236.25568890571594
nan,nan,108544,0.25251902255549796,0.446044921875,0.48588865995407104,0.465966796875,17.49238998889923,53,0.0002680327868852459,1000.0,-166.22710554628296,2,-0.10446108411124441,8.502745747566223,239.98233795166016
nan,nan,110592,0.13712861462990986,0.33979493379592896,0.38032227754592896,0.36005859375,17.261781710386277,54,0.00026741803278688525,1000.0,-148.60559082986452,2,-0.11937423898198177,12.580201083421708,243.69477105140686
-136.596383387107,72.2083498545927,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,249.20145297050476
nan,nan,112640,0.31959102143155177,0.48095703125,0.512939453125,0.4969482421875,17.72707766890526,55,0.0002668032786885246,1000.0,-196.92781446324125,2,-0.10716224248753861,7.562337838858366,252.06657814979553
nan,nan,114688,0.20693535504105967,0.4195312559604645,0.460693359375,0.4401123046875,17.409050685167312,56,0.0002661885245901639,1000.0,-164.06650910370251,2,-0.11102433183696121,7.641454772651196,255.20724391937256
nan,nan,116736,0.17533607248624322,0.3666015565395355,0.4105468690395355,0.38857421875,17.38710775375366,57,0.00026557377049180324,1000.0,-168.70112749167868,2,-0.09989259004651103,9.771067222952842,258.6377351284027
nan,nan,118784,0.42438732327573236,0.5499023199081421,0.584521472454071,0.5672119140625,17.87641209959984,58,0.0002649590163934426,1000.0,-204.133430590882,2,-0.09083186990174,4.707933612167835,261.4439489841461
nan,nan,120832,0.17228138435602885,0.3790039122104645,0.4041503965854645,0.3915771484375,17.43455939888954,59,0.00026434426229508194,1000.0,-172.46221650391496,2,-0.10395140004111454,7.835771041363477,264.11568307876587
-108.20793301346455,71.63457911635439,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,268.75063586235046
nan,nan,122880,0.14607778056524695,0.33232420682907104,0.38286131620407104,0.3575927734375,17.33571105003357,60,0.0002637295081967213,1000.0,-170.6474413725878,2,-0.10863603586039972,10.839627751708031,271.41368222236633
nan,nan,124928,0.27848860057856656,0.44770509004592896,0.502636730670929,0.4751708984375,17.536414098739623,61,0.00026311475409836063,1000.0,-200.69847394758176,2,-0.08837488657154609,7.030088296532631,273.8080711364746
nan,nan,126976,0.13899625450430902,0.32758790254592896,0.3717285096645355,0.349658203125,17.32692857980728,62,0.0002625,1000.0,-120.03797087625776,2,-0.10703169658663683,11.81282880604267,275.7846519947052
nan,nan,129024,0.19935252935392783,0.3885742127895355,0.44287109375,0.41572265625,17.36016184091568,63,0.00026188524590163933,1000.0,-202.1964763822036,3,-0.12052110449294559,7.371354229003191,278.6510570049286
nan,nan,131072,0.167736771190539,0.3570312559604645,0.4091796875,0.38310546875,17.31928368806839,64,0.0002612704918032787,1000.0,-287.79978443967354,2,-0.11077959665562957,10.952917660772801,280.8247380256653
-67.48516193555184,110.64123910206884,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,284.2465908527374
nan,nan,133120,0.15434905714791966,0.35649412870407104,0.39960938692092896,0.3780517578125,17.24277662038803,65,0.000260655737704918,1000.0,-179.3754794668373,2,-0.1167531538521871,10.94051497876644,286.78854179382324
nan,nan,135168,0.2034490881007514,0.41630858182907104,0.4539550840854645,0.4351318359375,17.425909960269927,66,0.0002600409836065573,1000.0,-172.5782001439812,2,-0.11558145275921561,9.469786538183689,289.88917112350464
nan,nan,137216,0.2494907713960856,0.43413084745407104,0.4834960997104645,0.4588134765625,17.441067612171175,67,0.00025942622950819673,1000.0,-115.34010297987342,2,-0.10890397351467981,7.251032811403275,292.57228994369507
nan,nan,139264,0.1719791855517542,0.3631347715854645,0.4137206971645355,0.388427734375,17.32144610285759,68,0.000258811475409836,1000.0,-238.300416215457,2,-0.11469527036533692,13.537644968926907,294.57884907722473
nan,nan,141312,0.10841947889421136,0.29130858182907104,0.33012694120407104,0.3107177734375,17.188308960199358,69,0.00025819672131147537,1000.0,-340.71520854032616,2,-0.11050866436999059,21.11343688070774,296.9846680164337
