eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,36864,0.06982174648110231,0.4375,0.413818359375,0.11552734673023224,0.09086914360523224,0.07016601413488388,0.05854492262005806,0.05810546875,0.06513671576976776,0.3828125,0.35869139432907104,0.342529296875,0.3095703125,0.2721191346645355,0.237548828125,0.166015625,0.13383789360523224,0.219549560546875,0.05381685827160254,1.2556033799424768,10.0,137.37115755081177,18,0.00028954918032786885,1000.0,-449.9475122057636,2,-0.046510081889573486,12.068951707333326,126.74950981140137
nan,nan,38912,0.09912125117261894,0.532470703125,0.5013183355331421,0.125,0.10771484673023224,0.09428711235523224,0.08369140326976776,0.07880859076976776,0.07998047024011612,0.46440428495407104,0.4295410215854645,0.40986329317092896,0.3740234375,0.3409179747104645,0.26806640625,0.20961913466453552,0.16123047471046448,0.26630859375,0.05699186302954331,1.7148745577782392,10.0,137.75344161987306,19,0.0002889344262295082,1000.0,-484.3073593808201,2,-0.050000361021375284,8.468179631978273,132.07112002372742
nan,nan,40960,0.10397516183984408,0.553173840045929,0.520214855670929,0.10800781100988388,0.09443359076976776,0.07890625298023224,0.078369140625,0.07065429538488388,0.07343749701976776,0.4999023377895355,0.4674316346645355,0.4312500059604645,0.42744141817092896,0.38691407442092896,0.3079589903354645,0.20859375596046448,0.13720703125,0.2777435302734375,0.05624692405108363,2.0553246293216945,10.0,137.81595273017882,20,0.00028831967213114755,1000.0,-596.8295351899624,2,-0.052685555833159016,8.264505677297711,137.5374698638916
-449.00054720603794,21.455200026608367,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,148.87410283088684
nan,nan,43008,0.09376948738499777,0.5040527582168579,0.46635740995407104,0.12861327826976776,0.09931640326976776,0.09047851711511612,0.07827148586511612,0.07460937649011612,0.086669921875,0.4610351622104645,0.4598632752895355,0.43315428495407104,0.410400390625,0.33183592557907104,0.2657226622104645,0.19863280653953552,0.16098633408546448,0.265625,0.05559075765777379,1.7088075598701835,10.0,137.57646617889404,21,0.00028770491803278684,1000.0,-524.6613569141397,3,-0.051914674352156,12.613008140027523,154.26246976852417
nan,nan,45056,0.06804652354876453,0.3880371153354645,0.39165037870407104,0.10361327975988388,0.08413086086511612,0.07626952975988388,0.05874023586511612,0.05991210788488388,0.06845702975988388,0.35957032442092896,0.35986328125,0.343505859375,0.33330076932907104,0.2737793028354645,0.21738281846046448,0.16567382216453552,0.12021484225988388,0.21275634765625,0.05428655189462006,1.1397520197555422,10.0,137.23256211280824,22,0.0002870901639344262,1000.0,7.802562625973287,2,-0.03955965907080099,17.745362240076066,159.52835392951965
nan,nan,47104,0.07747864644697984,0.45405274629592896,0.42060548067092896,0.11235351860523224,0.09619140625,0.09907226264476776,0.09184570610523224,0.08383788913488388,0.09682617336511612,0.40107423067092896,0.3733886778354645,0.3609863221645355,0.2967285215854645,0.30253905057907104,0.22617188096046448,0.178466796875,0.13393554091453552,0.2330047607421875,0.0526029349071905,1.1983676254749298,10.0,137.22171978950502,23,0.00028647540983606554,1000.0,-230.40542800840512,2,-0.04092766332323663,18.71501314640045,164.89422297477722
nan,nan,49152,0.09059369043934566,0.44208985567092896,0.452392578125,0.16005858778953552,0.13813476264476776,0.12138672173023224,0.11884765326976776,0.11606445163488388,0.13203124701976776,0.40458983182907104,0.4036621153354645,0.40239256620407104,0.35566407442092896,0.32783204317092896,0.2659668028354645,0.21630859375,0.17158202826976776,0.264312744140625,0.052172824332956225,1.3978097127750515,10.0,137.4148576259613,24,0.0002858606557377049,1000.0,-546.7042013193513,2,-0.039308340742718426,11.89241269081831,170.40970492362976
nan,nan,51200,0.09920954426597746,0.4449218809604645,0.456298828125,0.16757813096046448,0.133056640625,0.12651367485523224,0.12983398139476776,0.11977539211511612,0.13203124701976776,0.4388671815395355,0.43510740995407104,0.41791993379592896,0.3916015625,0.3658203184604645,0.32880860567092896,0.25493162870407104,0.19677734375,0.283740234375,0.052236522699240596,2.215012750029564,10.0,137.46963901519774,25,0.00028524590163934424,1000.0,-602.9621239359076,2,-0.042093245493015276,8.336985799949616,175.88665103912354
-598.518397198189,0.7079223530224148,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,187.3517837524414
nan,nan,53248,0.09833521365217165,0.48442381620407104,0.48002928495407104,0.1640625,0.12490234524011612,0.11362304538488388,0.10214843600988388,0.10991211235523224,0.12343750149011612,0.45795899629592896,0.43598634004592896,0.43022459745407104,0.392578125,0.3631347715854645,0.2889160215854645,0.24311523139476776,0.1982421875,0.28204345703125,0.051699730358086525,2.6404844421893356,10.0,137.9830045223236,26,0.0002846311475409836,1000.0,-582.6759160530422,2,-0.037400015944149344,8.796925212303176,192.62951803207397
nan,nan,55296,0.08969922810356365,0.46586912870407104,0.458251953125,0.13906249403953552,0.11586914211511612,0.103759765625,0.08041992038488388,0.06069336086511612,0.05800781399011612,0.41357421875,0.4308105409145355,0.415283203125,0.3729492127895355,0.3392089903354645,0.2791503965854645,0.22812500596046448,0.16289062798023224,0.257745361328125,0.05270249479217455,2.015956322103739,10.0,137.4144790172577,27,0.00028401639344262294,1000.0,-500.74933870144685,2,-0.04142761342227459,9.77819897737354,198.09164595603943
nan,nan,57344,0.08488068833430588,0.4563964903354645,0.4588867127895355,0.122802734375,0.08261718600988388,0.07177734375,0.05595703050494194,0.04624023288488388,0.04726562649011612,0.43525391817092896,0.39692384004592896,0.39458006620407104,0.3956542909145355,0.342041015625,0.28632813692092896,0.21743163466453552,0.148193359375,0.2473968505859375,0.05406102574197576,1.6527678543701767,10.0,137.48866553306578,28,0.0002834016393442623,1000.0,-354.7094566494054,2,-0.044278867810498924,10.282118280604482,203.6346719264984
nan,nan,59392,0.09970813827931124,0.5252441167831421,0.49628907442092896,0.13037109375,0.11123047024011612,0.09072265774011612,0.08901367336511612,0.087890625,0.10097656399011612,0.4671386778354645,0.45512694120407104,0.43623048067092896,0.40034180879592896,0.3406738340854645,0.29462891817092896,0.22553710639476776,0.17958983778953552,0.2769378662109375,0.05844157137908042,1.8560546189546585,10.0,138.06138892173766,29,0.00028278688524590163,1000.0,-348.2738315918011,2,-0.05426481359172612,8.895875644311309,209.2573938369751
nan,nan,61440,0.08318542571978468,0.49755859375,0.4830078184604645,0.08857421576976776,0.076416015625,0.06196289137005806,0.05527343600988388,0.06162109225988388,0.07973632961511612,0.4420410096645355,0.40625,0.4168945252895355,0.3484863340854645,0.31669920682907104,0.23046875,0.15322265028953552,0.11210937798023224,0.2393951416015625,0.05719369216822088,1.3722814723849297,10.0,137.8916172027588,30,0.00028217213114754093,1000.0,-542.300407106362,2,-0.04799386793165468,12.816676242649555,214.98710799217224
-879.0709456331467,28.03645630319333,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,227.05358791351318
nan,nan,63488,0.0861488574433679,0.516308605670929,0.501708984375,0.09418945014476776,0.08476562798023224,0.07182617485523224,0.06220703199505806,0.06928710639476776,0.08906249701976776,0.45146483182907104,0.40180665254592896,0.39946287870407104,0.3550781309604645,0.27763670682907104,0.21201172471046448,0.14892578125,0.12607422471046448,0.241363525390625,0.055322095192968844,1.5288593139499427,10.0,137.49966821670532,31,0.0002815573770491803,1000.0,-848.9340894281655,2,-0.04805823842179961,19.2104741320014,233.03824496269226
