eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,104448,0.24553137597686145,0.4178710877895355,0.48222655057907104,0.450048828125,0.003485405905666994,0.0097301588873961,10.0,17.527511727809905,51,0.00026926229508196715,1000.0,-292.697471133948,2,-0.09902203434758121,7.779970578104257,94.13654518127441
nan,nan,106496,0.15124857621267437,0.3271484375,0.388916015625,0.3580322265625,0.0036940119447535836,0.010995294543681667,10.0,17.36267394423485,52,0.00026864754098360655,1000.0,-191.14006144008346,2,-0.10475598795819678,11.899034406244756,95.55678296089172
nan,nan,108544,0.17996892646478954,0.36176759004592896,0.4186035096645355,0.390185546875,0.0035538523821742273,0.010066840981016867,10.0,17.446688294410706,53,0.0002680327868852459,1000.0,-282.30052730595975,2,-0.10451408329063269,10.607312275469303,97.10536193847656
nan,nan,110592,0.21210423931479455,0.3846191465854645,0.45244139432907104,0.4185302734375,0.0037237693104543723,0.011094008617510554,10.0,17.410658884048463,54,0.00026741803278688525,1000.0,-257.5626001355599,2,-0.09704358253184182,10.97129570990801,98.61261916160583
-77.05919261150135,40.19350885626431,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.81402611732483
nan,nan,112640,0.20660480842343532,0.3824218809604645,0.4503417909145355,0.4163818359375,0.0037568926680251026,0.010496768534358126,10.0,17.432879203557967,55,0.0002668032786885246,1000.0,-240.94854856439622,2,-0.10024802439256746,9.818619245290757,102.23593926429749
nan,nan,114688,0.11937416592118097,0.27685546875,0.3402343690395355,0.308544921875,0.0031103975816222373,0.008803124169935473,10.0,17.184925919771196,56,0.0002661885245901639,1000.0,-171.86752321669007,2,-0.10467090307138278,16.212315058708192,103.87937593460083
nan,nan,116736,0.34286087565124035,0.4837890565395355,0.5462402105331421,0.5150146484375,0.0041898102230334185,0.011367382893513422,10.0,17.747337812185286,57,0.00026557377049180324,1000.0,-190.67327770044716,2,-0.09741671825213416,7.3841111294925215,105.3210551738739
nan,nan,118784,0.17076199563598493,0.33173829317092896,0.3826660215854645,0.3572021484375,0.004450617725524353,0.01267888478905661,10.0,17.271858161687852,58,0.0002649590163934426,1000.0,-294.5863722610894,2,-0.09146214818320005,17.100340044498445,106.77990508079529
nan,nan,120832,0.36049871638679176,0.47163087129592896,0.5409179925918579,0.5062744140625,0.004253085210075369,0.011197032174095511,10.0,17.798290795087816,59,0.00026434426229508194,1000.0,-196.00007269172798,2,-0.08741918247033027,8.151796849817037,108.20999002456665
-8.299250052250532,54.250600119654116,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110.32081317901611
nan,nan,122880,0.18081538850674406,0.3568359315395355,0.43242186307907104,0.39462890625,0.003655271667230409,0.01015365147322882,10.0,17.39775675535202,60,0.0002637295081967213,1000.0,-196.75376856438484,2,-0.10362661434646725,10.876683966815472,111.68510508537292
nan,nan,124928,0.2542674261610955,0.41899412870407104,0.49091798067092896,0.4549560546875,0.00343569982869667,0.008852729902719148,10.0,17.51954627633095,61,0.00026311475409836063,1000.0,-179.34078614425175,2,-0.10092598802748398,8.778346964716912,113.19148015975952
