eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,wall_time
nan,nan,1081344,0.0,0.0,17.381126973032952,0.8491502923890948,33,0.00028032786885245903,1001.0,-239.6498836425293,32,4.331272024661303,3.2812231715768574,7.401742935180664,7.401742935180664,7.401742935180664,7.401742935180664,1023.9819023609161
nan,nan,1114112,0.0,0.0,17.442487624287605,0.8530979995615781,34,0.0002797131147540983,1001.0,-239.15017986293677,32,4.337641885131598,3.3543740991503,7.143622398376465,7.143622398376465,7.143622398376465,7.143622398376465,1049.367838859558
nan,nan,1146880,0.0,0.0,17.435113897919656,0.8579208528622985,35,0.00027909836065573767,1001.0,-239.37260435633516,32,4.336777102202177,3.2058368852362036,6.8312578201293945,6.8312578201293945,6.8312578201293945,6.8312578201293945,1075.284333705902
nan,nan,1179648,0.0,0.0,17.430542880296706,0.8478336261585355,36,0.000278483606557377,1001.0,-240.04911505173547,32,4.338231981545687,3.321478727273643,7.2286248207092285,7.2286248207092285,7.2286248207092285,7.2286248207092285,1101.3805956840515
nan,nan,1212416,0.0,0.0,17.457871761918067,0.8278709352947772,37,0.00027786885245901637,1001.0,-231.876795796475,32,4.347747873514891,3.1895819129422307,7.497946262359619,7.497946262359619,7.497946262359619,7.497946262359619,1127.2861824035645
nan,nan,1245184,0.0,0.0,17.387883657217024,0.8294486093334854,38,0.0002772540983606557,1001.0,-234.41850062338878,32,4.335368163138628,2.870620715431869,7.503517150878906,7.503517150878906,7.503517150878906,7.503517150878906,1154.1311521530151
nan,nan,1277952,0.0,0.0,17.420791271328927,0.8174710866995156,39,0.00027663934426229507,1001.0,-245.12350370639643,32,4.332019931077957,3.5738838255405425,7.297402858734131,7.297402858734131,7.297402858734131,7.297402858734131,1180.7306838035583
nan,nan,1310720,0.0,0.0,17.419843244552613,0.8127618831582367,40,0.0002760245901639344,1001.0,-251.0149645992587,32,4.335894473642111,3.248923208750784,7.103196620941162,7.103196620941162,7.103196620941162,7.103196620941162,1206.9570708274841
nan,nan,1343488,0.0,0.0,17.41913137733936,0.8417629312723875,41,0.00027540983606557377,1001.0,-248.9786326424594,32,4.327698578685522,2.8365761099383233,7.291871070861816,7.291871070861816,7.291871070861816,7.291871070861816,1232.6774430274963
nan,nan,1376256,0.0,0.0,17.395847091078757,0.8157618724275381,42,0.0002747950819672131,1001.0,-241.98174203659175,32,4.330123807489872,3.44168501701206,7.204948425292969,7.204948425292969,7.204948425292969,7.204948425292969,1258.36199426651
nan,nan,1409024,0.0,0.0,17.40030907988548,0.8127815710380674,43,0.0002741803278688524,1001.0,-240.31519771962337,32,4.3305442988872525,3.4866962330415845,6.935397624969482,6.935397624969482,6.935397624969482,6.935397624969482,1284.4652924537659
nan,nan,1441792,0.0,0.0,17.447121179103853,0.8155726238153875,44,0.00027356557377049176,1001.0,-236.91933363622715,48,4.3466931991279125,3.498505011573434,7.513232231140137,7.513232231140137,7.513232231140137,7.513232231140137,1310.7878153324127
nan,nan,1474560,0.0,0.0,17.409739142656328,0.7994283644482494,45,0.0002729508196721311,1001.0,-229.10644670468548,32,4.323282246291638,3.829001172631979,7.618509769439697,7.618509769439697,7.618509769439697,7.618509769439697,8055.609914064407
nan,nan,1507328,0.0,0.0,17.423297408223153,0.8246289728209376,46,0.00027233606557377046,1001.0,-237.59073211825478,32,4.327896589785814,3.1281314862892033,7.2818522453308105,7.2818522453308105,7.2818522453308105,7.2818522453308105,8093.7277500629425
nan,nan,1540096,0.0,0.0,17.436864924430846,0.8144440674223006,47,0.0002717213114754098,1001.0,-226.94979514362188,32,4.339902523905039,3.14747611656785,7.572187900543213,7.572187900543213,7.572187900543213,7.572187900543213,8122.835432767868
