eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,36864,1.0994586711338343,0.22763672471046448,0.216064453125,0.17607422173023224,0.17441406846046448,0.17729492485523224,0.18149414658546448,0.182373046875,0.18007811903953552,0.20644530653953552,0.19287109375,0.19218750298023224,0.18608398735523224,0.18442383408546448,0.18471679091453552,0.18178710341453552,0.17465820908546448,0.1886627197265625,168.3722303390503,18,0.00028954918032786885,1000.0,-356.47613916487177,2,0.0056077441680827175,22.97139207422733,109.89737820625305
nan,nan,38912,2.570415923281689,0.3736328184604645,0.37299805879592896,0.33740234375,0.3365234434604645,0.34028321504592896,0.3509765565395355,0.3662109375,0.3529296815395355,0.36748045682907104,0.350830078125,0.34052735567092896,0.34736329317092896,0.34980469942092896,0.3460449278354645,0.3519043028354645,0.34541016817092896,0.3518951416015625,205.00890522003175,19,0.0002889344262295082,1000.0,-325.3037908369073,2,0.021734292557812295,31.16898535490036,114.29325318336487
nan,nan,40960,4.7388521418091845,0.47050780057907104,0.46733397245407104,0.48076170682907104,0.48344725370407104,0.4833007752895355,0.48188477754592896,0.49677735567092896,0.48896485567092896,0.4652343690395355,0.4664550721645355,0.47578126192092896,0.46879881620407104,0.47871094942092896,0.4754882752895355,0.4737792909145355,0.4808105528354645,0.4773773193359375,644.8860373497009,20,0.00028831967213114755,1000.0,-369.87282816699764,2,0.012252854835969629,13.822311417758465,118.87783908843994
-332.3942671726274,34.47187796626356,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130.1541302204132
nan,nan,43008,4.656042880796304,0.6185547113418579,0.620654284954071,0.631298840045929,0.638427734375,0.6485351324081421,0.6653808355331421,0.6683593988418579,0.6771484613418579,0.620800793170929,0.6182616949081421,0.6273437738418579,0.626220703125,0.6317383050918579,0.6435546875,0.6373535394668579,0.635058581829071,0.638043212890625,369.7312565326691,21,0.00028770491803278684,1000.0,-349.43254649472146,3,0.016961617034394295,19.760486593842508,134.56665110588074
nan,nan,45056,7.70110877584375,0.7051757574081421,0.7013183832168579,0.7010253667831421,0.708691418170929,0.711621105670929,0.708984375,0.7120605707168579,0.7123047113418579,0.6949218511581421,0.6983398199081421,0.696337878704071,0.690380871295929,0.697949230670929,0.696533203125,0.703906238079071,0.7035156488418579,0.702691650390625,801.0535718917847,22,0.0002870901639344262,1000.0,-681.9633545209115,2,0.03643955151637783,11.902074766904116,138.96008610725403
nan,nan,47104,8.631369563256158,0.8114258050918579,0.83447265625,0.8661133050918579,0.862255871295929,0.8643554449081421,0.868359386920929,0.872607409954071,0.875781238079071,0.8401855230331421,0.8451172113418579,0.852246105670929,0.8504883050918579,0.8533691167831421,0.860058605670929,0.861328125,0.860058605670929,0.854888916015625,646.5196474075317,23,0.00028647540983606554,1000.0,-656.4143614706057,2,0.06363523723121034,16.560846066474916,143.17747926712036
nan,nan,49152,7.04919795357564,0.674609363079071,0.6737304925918579,0.678906261920929,0.697216808795929,0.694042980670929,0.706787109375,0.7132323980331421,0.723193347454071,0.671337902545929,0.665820300579071,0.6676269769668579,0.666552722454071,0.67431640625,0.6729980707168579,0.6763671636581421,0.681835949420929,0.683660888671875,369.10176692008974,24,0.0002858606557377049,1000.0,-282.02640220685646,2,0.06337692090892233,15.345641082525253,147.42311811447144
nan,nan,51200,6.571271395450458,0.685498058795929,0.688525378704071,0.72119140625,0.7257324457168579,0.723876953125,0.72802734375,0.729931652545929,0.7356933355331421,0.697509765625,0.700634777545929,0.712158203125,0.7130371332168579,0.716259777545929,0.714160144329071,0.712207019329071,0.718310534954071,0.713922119140625,328.1778003692627,25,0.00028524590163934424,1000.0,-240.21245889517357,2,0.02094438188505592,12.170204581320286,151.76260018348694
-210.851592291572,338.10788718467853,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,163.00966024398804
nan,nan,53248,7.227503164263908,0.64599609375,0.606005847454071,0.636181652545929,0.633105456829071,0.6454101800918579,0.6513671875,0.649169921875,0.6529296636581421,0.604736328125,0.6060546636581421,0.6124511957168579,0.623291015625,0.6204589605331421,0.634082019329071,0.6305176019668579,0.6346191167831421,0.6303985595703125,341.53286991119387,26,0.0002846311475409836,1000.0,-431.66813740285977,2,0.04220754491398111,8.610636058449746,167.44061517715454
nan,nan,55296,4.819644256625907,0.475341796875,0.4701171815395355,0.4901367127895355,0.4913085997104645,0.4869628846645355,0.4842285215854645,0.48588865995407104,0.48652344942092896,0.46894532442092896,0.4820312559604645,0.481689453125,0.4913085997104645,0.4847656190395355,0.48505860567092896,0.4862304627895355,0.4833984375,0.4833709716796875,467.3191140651703,27,0.00028401639344262294,1000.0,-558.1175907012728,2,-0.008093952760100364,16.522517512738705,171.8914110660553
nan,nan,57344,4.131586866955331,0.5997558832168579,0.611523449420929,0.6111816167831421,0.6209472417831421,0.616259753704071,0.6187499761581421,0.626904308795929,0.62939453125,0.6103515625,0.614550769329071,0.603466808795929,0.607373058795929,0.616455078125,0.616650402545929,0.6155761480331421,0.612988293170929,0.614508056640625,236.55231556892394,28,0.0002834016393442623,1000.0,-399.9875286221567,2,-0.04019413156493101,29.533380618691446,176.36047530174255
nan,nan,59392,2.0008224844554205,0.3694824278354645,0.37651365995407104,0.368408203125,0.36821287870407104,0.37285155057907104,0.3777832090854645,0.37358397245407104,0.3760742247104645,0.38139647245407104,0.3954101502895355,0.3865722715854645,0.39013671875,0.3841308653354645,0.38129884004592896,0.38188475370407104,0.37309569120407104,0.37855224609375,192.75381469726562,29,0.00028278688524590163,1000.0,-363.35868321341576,2,-0.038982688669057096,21.18371862769127,180.71768403053284
