eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,47104,0.2636400185278035,0.46577149629592896,0.47075194120407104,0.46826171875,17.573043698072432,23,0.00028647540983606554,1000.0,-296.45085429170445,2,-0.06872921286558267,7.443412164598703,39.59407687187195
nan,nan,49152,0.17449871182761853,0.37836915254592896,0.39326173067092896,0.3858154296875,17.46442666053772,24,0.0002858606557377049,1000.0,-283.7801545046237,2,-0.0714100401091855,8.439659797400235,41.109689712524414
nan,nan,51200,0.09204397301073186,0.261962890625,0.26835936307907104,0.2651611328125,17.264894992113113,25,0.00028524590163934424,1000.0,-254.75799291547062,2,-0.07081601147947367,13.984127508103848,42.72185802459717
-157.88291082854153,44.35764884508106,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.85354685783386
nan,nan,53248,0.16707604473776883,0.38427734375,0.39116209745407104,0.3877197265625,17.22912480831146,26,0.0002846311475409836,1000.0,-315.6426479057675,2,-0.07282728966092691,8.36151257455349,46.124248027801514
nan,nan,55296,1.4361158796498785,0.5049804449081421,0.505615234375,0.5052978515625,20.41299138069153,27,0.00028401639344262294,1000.0,-334.6803489409441,2,-0.07944544531637802,6.983534411340952,47.37699508666992
nan,nan,57344,0.12178212753206026,0.3167480528354645,0.32329100370407104,0.32001953125,17.294955372810364,28,0.0002834016393442623,1000.0,-222.10101939995627,2,-0.07951711833302397,17.407161664962768,48.65738081932068
nan,nan,59392,1.9434267680044286,0.57275390625,0.567089855670929,0.569921875,21.65387971997261,29,0.00028278688524590163,1000.0,-370.0992533332509,2,-0.09196617891720962,13.152210693061352,50.201722860336304
nan,nan,61440,0.19604232122655957,0.4076171815395355,0.4200195372104645,0.413818359375,17.478445237874986,30,0.00028217213114754093,1000.0,-245.05566384497882,2,-0.07208278947946382,8.91623800843954,51.4120979309082
-163.14564644115362,59.57396912152895,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,53.53769898414612
nan,nan,63488,0.14583210745622638,0.3614746034145355,0.3631347715854645,0.3623046875,17.364250522851943,31,0.0002815573770491803,1000.0,-214.23932136423713,2,-0.07597598135907901,10.573995998501777,54.894542932510376
nan,nan,65536,0.076638069486944,0.22749023139476776,0.24433593451976776,0.2359130859375,17.19194099903107,32,0.0002809426229508196,1000.0,-314.049315050505,2,-0.0726094493176788,28.341238921880723,56.64308285713196
nan,nan,67584,0.11681117869884475,0.29985350370407104,0.31464844942092896,0.3072509765625,17.312278658151627,33,0.00028032786885245903,1000.0,-305.0400632073181,2,-0.07935909600928426,16.808824121952057,57.93938183784485
nan,nan,69632,0.18516465426509968,0.388916015625,0.4043945372104645,0.3966552734375,17.38882983326912,34,0.0002797131147540983,1000.0,-248.89764861230015,2,-0.06780892074748408,11.694086067378521,59.46643590927124
