eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
-278.47178722738875,111.42524918911768,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110.27293610572815
nan,nan,53248,0.043245272087369814,0.20341797173023224,0.17978516221046448,0.15629883110523224,0.12929686903953552,0.12290038913488388,0.11406250298023224,0.11298827826976776,0.113037109375,0.141473388671875,0.02069974515179638,0.233383501553908,10.0,68.29856777191162,26,0.0002846311475409836,1000.0,-255.54771042476105,2,-0.027745141717605292,12.959758915007114,113.50983691215515
nan,nan,55296,0.11524516912613762,0.4698730409145355,0.408203125,0.36040037870407104,0.3189453184604645,0.28271484375,0.24233397841453552,0.21303710341453552,0.21977539360523224,0.314410400390625,0.028616181178949773,0.5980072622187436,10.0,69.12635927200317,27,0.00028401639344262294,1000.0,-476.6051213260762,2,-0.024943682133744004,9.08145089354366,116.86875009536743
nan,nan,57344,0.07017615766417293,0.291015625,0.2723632752895355,0.23994140326976776,0.22202149033546448,0.20156249403953552,0.17768554389476776,0.16391602158546448,0.16767577826976776,0.217022705078125,0.02664317566086538,0.47993552852422,10.0,68.83514382839203,28,0.0002834016393442623,1000.0,-486.78601485606055,2,-0.026717007865954656,11.41184522844851,120.1820421218872
nan,nan,59392,0.044227929167755066,0.2655273377895355,0.23330077528953552,0.189208984375,0.14531250298023224,0.11328125,0.07968749850988388,0.07431640475988388,0.078857421875,0.1474365234375,0.02697366356733255,0.3408823228441179,10.0,68.51831336021424,29,0.00028278688524590163,1000.0,-416.1476686696981,2,-0.022124787853681483,11.941306080669165,123.63575911521912
nan,nan,61440,0.03527072878096078,0.18837890028953552,0.15932616591453552,0.11977539211511612,0.11372070014476776,0.095703125,0.07973632961511612,0.071533203125,0.07807616889476776,0.11328125,0.023917825432727115,0.2553374955896288,10.0,68.63494381904601,30,0.00028217213114754093,1000.0,-325.1183378316046,2,-0.022400159659446216,11.616859222948552,127.04165601730347
-596.5040475519211,4.130549182560309,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.2048020362854
nan,nan,63488,0.057189097549053255,0.2730468809604645,0.240234375,0.22783203423023224,0.18344727158546448,0.163818359375,0.12250976264476776,0.11611328274011612,0.11137695610523224,0.17979736328125,0.025874104670947418,0.36992611675523224,10.0,68.69310853481292,31,0.0002815573770491803,1000.0,-455.0142723949334,2,-0.029684515034023206,12.46791382431984,136.60097813606262
nan,nan,65536,0.053688915318707585,0.21738281846046448,0.21381835639476776,0.19580078125,0.16933593153953552,0.15141601860523224,0.14892578125,0.144775390625,0.14291992783546448,0.173046875,0.01996793087455444,0.23514530761167407,10.0,68.48354794979096,32,0.0002809426229508196,1000.0,-454.0444616912441,2,-0.02915997181116836,20.556871405243875,139.92628288269043
nan,nan,67584,0.08637469561981562,0.36723631620407104,0.31718748807907104,0.2733398377895355,0.247802734375,0.23666992783546448,0.22553710639476776,0.214599609375,0.20458984375,0.260870361328125,0.02276740045635961,0.30173507388681176,10.0,68.85387270450592,33,0.00028032786885245903,1000.0,-315.86969028626663,2,-0.02809994212730089,14.980779837816954,143.408194065094
nan,nan,69632,0.04422231370153895,0.19584961235523224,0.19091796875,0.17216797173023224,0.15087890625,0.123291015625,0.11440429836511612,0.10908202826976776,0.10512695461511612,0.14521484375,0.02286460415343754,0.2640540874097496,10.0,68.46304450035095,34,0.0002797131147540983,1000.0,-184.12964188962832,2,-0.031245295979897492,22.71222163438797,146.8243010044098
