eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,38912,0.0611339092021808,0.185546875,0.19697265326976776,0.19863280653953552,0.19643554091453552,0.19439697265625,0.006425408291397617,0.03437224435037933,10.0,34.29755791425705,19,0.0002889344262295082,1000.0,-358.0055648090226,2,-0.05568150105482346,9.896566106379032,48.607802867889404
nan,nan,40960,0.059485546522046205,0.176025390625,0.19033202528953552,0.192626953125,0.19321289658546448,0.18804931640625,0.0064593139322823845,0.03763052884023636,10.0,34.427424573898314,20,0.00028831967213114755,1000.0,-298.2590889164038,2,-0.05600225035141193,13.142082525789737,50.68537402153015
-122.0485883910593,36.42932572757556,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.20903778076172
nan,nan,43008,0.06751221350641572,0.19521483778953552,0.20488281548023224,0.20703125,0.21694335341453552,0.20601806640625,0.006304626754717902,0.037789638200774786,10.0,34.193093347549436,21,0.00028770491803278684,1000.0,-281.50512491703086,3,-0.05573107815871481,13.806053414940834,56.30803465843201
nan,nan,45056,0.07310553180141141,0.21176758408546448,0.21250000596046448,0.23554687201976776,0.23149414360523224,0.2228271484375,0.007511398878705222,0.042726497387047854,10.0,34.36305619478226,22,0.0002870901639344262,1000.0,-236.7519417848154,2,-0.06310966688615735,13.338116708397866,58.43983578681946
nan,nan,47104,0.09955631518387235,0.2633300721645355,0.26201170682907104,0.2861328125,0.2967773377895355,0.27706298828125,0.0073799208752461706,0.04081152507569641,10.0,34.49287015199661,23,0.00028647540983606554,1000.0,-334.8389210394158,2,-0.060440252516491454,9.973152388632297,60.440921783447266
nan,nan,49152,0.09705853972554905,0.2589355409145355,0.270751953125,0.276611328125,0.29326170682907104,0.27489013671875,0.007603797002229839,0.042964583123102786,10.0,34.44716964960098,24,0.0002858606557377049,1000.0,-358.41105796731773,2,-0.06108426395330753,8.850445953011512,62.562471866607666
nan,nan,51200,0.08063715112220962,0.22470703721046448,0.22802734375,0.2506347596645355,0.2566894590854645,0.2400146484375,0.007024072551575955,0.03815874154679477,10.0,34.502800619602205,25,0.00028524590163934424,1000.0,-244.78847253332387,2,-0.06234494934142276,10.7590919688344,64.66914677619934
-27.934451200981254,46.21326135458116,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,68.17421174049377
nan,nan,53248,0.0703131665912224,0.20512695610523224,0.21933594346046448,0.22138671576976776,0.22666016221046448,0.21812744140625,0.0065152306211530234,0.03707764589926228,10.0,34.240839540958405,26,0.0002846311475409836,1000.0,-254.5639094783184,2,-0.05994133752647031,9.515517455339431,70.19796204566956
nan,nan,55296,0.057892336355143924,0.16982421278953552,0.18046875298023224,0.18798828125,0.19916991889476776,0.18436279296875,0.005237112579197856,0.03007493643090129,10.0,34.27580852508545,27,0.00028401639344262294,1000.0,-337.9266280034353,2,-0.06006229795002582,16.604988741874696,72.1836359500885
nan,nan,57344,0.06788283141941065,0.19301757216453552,0.211669921875,0.21381835639476776,0.22607421875,0.21114501953125,0.005093383544590324,0.0272778311278671,10.0,34.511326742172244,28,0.0002834016393442623,1000.0,-210.7563593056173,2,-0.06344095719723555,12.689846999943256,74.30109906196594
nan,nan,59392,0.08615039725191309,0.22978515923023224,0.24257811903953552,0.26557618379592896,0.2646484375,0.25064697265625,0.0059763850702438505,0.032211218640441075,10.0,34.427103066444396,29,0.00028278688524590163,1000.0,-203.9488758431126,2,-0.06582586951317353,9.922316113114357,76.4718987941742
nan,nan,61440,0.10719630206149304,0.274169921875,0.2786621153354645,0.29985350370407104,0.3145507872104645,0.29180908203125,0.007437717735592741,0.040130289638182146,10.0,34.49110301733017,30,0.00028217213114754093,1000.0,-140.7995968389048,2,-0.06588275045978662,8.981959433853627,78.59061098098755
41.18542157950024,46.55535168634051,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,82.09503984451294
nan,nan,63488,0.08359441184293245,0.23125000298023224,0.245361328125,0.24848632514476776,0.26762694120407104,0.24818115234375,0.006515405653044581,0.03460574236232787,10.0,34.492961406707764,31,0.0002815573770491803,1000.0,-190.13216277711877,2,-0.0623651505813541,10.985533247888089,84.09148907661438
nan,nan,65536,0.08664834897062974,0.22856445610523224,0.23818358778953552,0.261962890625,0.27197265625,0.2501708984375,0.005925987234513741,0.03209499132353812,10.0,34.53450236320496,32,0.0002809426229508196,1000.0,-166.5911153710054,2,-0.06186271169353859,11.26665819734335,86.15381789207458
