eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,137216,0.02579912165092537,0.2666015625,0.285888671875,0.31318360567092896,0.3336425721645355,0.2998291015625,34.24458993673325,67,0.00025942622950819673,1000.0,-66.18142315515017,2,-0.04095542222203221,16.436413934826852,210.83502078056335
nan,nan,139264,0.024814110473380425,0.2607421875,0.2735351622104645,0.3167968690395355,0.32866209745407104,0.29493408203125,34.109163272380826,68,0.000258811475409836,1000.0,-49.95323534502077,2,-0.04609050378785469,22.562240043282507,212.96774888038635
nan,nan,141312,0.032432676871394506,0.31640625,0.33305662870407104,0.35478514432907104,0.3662109375,0.34261474609375,34.20573638677597,69,0.00025819672131147537,1000.0,-63.5891205677334,2,-0.04380081721319584,16.974959775805473,215.09507179260254
214.59075717597338,71.86852000025365,141312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,219.25045800209045
nan,nan,143360,0.0372647930526,0.3414550721645355,0.36333006620407104,0.38139647245407104,0.38398438692092896,0.36754150390625,34.277702844142915,70,0.0002575819672131147,1000.0,1.4513285344505533,2,-0.04050499353470514,14.51467173397541,221.41522908210754
nan,nan,145408,0.02555689309592708,0.2770019471645355,0.29072266817092896,0.3058105409145355,0.31806641817092896,0.297900390625,34.20220260620117,71,0.00025696721311475407,1000.0,40.010294896852585,2,-0.043219956423854455,23.071971520781517,223.60193586349487
nan,nan,147456,0.03525111199487583,0.33320313692092896,0.34272462129592896,0.3734374940395355,0.3890136778354645,0.3595947265625,34.202815079689024,72,0.0002563524590163934,1000.0,83.89470905931059,2,-0.04436625178786926,14.995169997215271,225.77865982055664
nan,nan,149504,0.04745663442226942,0.38984376192092896,0.39936524629592896,0.43022459745407104,0.44145506620407104,0.41522216796875,34.35787965059281,73,0.00025573770491803277,1000.0,-9.991578102288582,2,-0.04558336048212368,11.216497188806533,227.9311499595642
nan,nan,151552,0.035143596563284515,0.3319335877895355,0.35356444120407104,0.3798828125,0.3799804747104645,0.36134033203125,34.19737277030945,74,0.0002551229508196721,1000.0,-35.58290762620521,2,-0.043088334507774564,12.908528737723827,230.16153502464294
415.83286223249326,78.7869392288695,151552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,234.5413088798523
nan,nan,153600,0.02572855147154769,0.2615722715854645,0.2804199159145355,0.30268555879592896,0.3290039002895355,0.29342041015625,34.051295173168185,75,0.00025450819672131146,1000.0,88.54988693747968,2,-0.04089151415682864,22.20900492668152,236.65597867965698
nan,nan,155648,0.02916445707451203,0.29326170682907104,0.30644530057907104,0.34003907442092896,0.34614259004592896,0.32147216796875,34.24159457683563,76,0.0002538934426229508,1000.0,-71.16702412827851,2,-0.0448908751597628,20.832790914177895,238.89089012145996
nan,nan,157696,0.027083830403717,0.2942871153354645,0.29448240995407104,0.3125976622104645,0.3375488221645355,0.30972900390625,34.17144110202789,77,0.0002532786885245901,1000.0,111.6130280548117,2,-0.043553856218932194,22.303263059258462,241.10876989364624
nan,nan,159744,0.03726267766251112,0.33955079317092896,0.36357420682907104,0.38720703125,0.3846679627895355,0.36875,34.208287274837495,78,0.00025266393442622946,1000.0,-55.85522809071641,2,-0.04412637120403815,14.884905044734477,243.3203239440918
nan,nan,161792,0.02634659674076829,0.2818847596645355,0.2958007752895355,0.3084472715854645,0.3250976502895355,0.3028076171875,34.11314722299576,79,0.0002520491803278688,1000.0,41.00445177864042,2,-0.04060011139663402,26.239800930023193,245.55600500106812
435.6748134521202,90.19126197092007,161792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,249.99898600578308
nan,nan,163840,0.029883531446103007,0.29931640625,0.31123048067092896,0.34575194120407104,0.36005860567092896,0.32908935546875,34.151627814769746,80,0.00025143442622950816,1000.0,153.33607721180857,2,-0.04313141517050099,21.64840072095394,252.0363028049469
nan,nan,165888,0.0393521093435993,0.346923828125,0.36201173067092896,0.3929687440395355,0.41157227754592896,0.378369140625,34.30750107765198,81,0.00025081967213114756,1000.0,93.68440416915074,2,-0.04319746217806823,17.182201516628265,254.1930661201477
nan,nan,167936,0.0293447735675727,0.31767576932907104,0.30517578125,0.33759766817092896,0.3431640565395355,0.3259033203125,34.30556811094284,82,0.0002502049180327869,1000.0,184.2884296924086,2,-0.04475552399817388,26.652575048804284,256.3407597541809
nan,nan,169984,0.03502426192208077,0.33549803495407104,0.3555664122104645,0.3740234375,0.3909668028354645,0.364013671875,34.0577867269516,83,0.0002495901639344262,1000.0,1.8943800041736054,2,-0.04667174022761174,20.220167940855028,258.5335907936096
nan,nan,172032,0.03225212167453719,0.32426756620407104,0.328857421875,0.3606933653354645,0.37255859375,0.34659423828125,34.13461409807205,84,0.00024897540983606555,1000.0,142.35865315266093,3,-0.04473092617408838,20.743399247527122,260.76764607429504
481.34875992860736,43.71074708880024,172032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,265.1322178840637
nan,nan,174080,0.042414000288408714,0.36796873807907104,0.37895506620407104,0.4083496034145355,0.42192381620407104,0.39429931640625,34.14134942293167,85,0.0002483606557377049,1000.0,-25.24451149058975,2,-0.04582574549276615,16.868659713864325,267.21038603782654
nan,nan,176128,0.031030821539025054,0.3143554627895355,0.32270509004592896,0.3583984375,0.3663574159145355,0.3404541015625,34.14985179901123,86,0.00024774590163934425,1000.0,154.81507947023232,2,-0.04028431101469323,24.380534169077873,269.43641996383667
nan,nan,178176,0.029652718565921533,0.30268555879592896,0.31669920682907104,0.35468751192092896,0.36357420682907104,0.33441162109375,34.13292291164398,87,0.0002471311475409836,1000.0,149.05536077371517,2,-0.04856955865107011,26.676709246635436,271.5316889286041
nan,nan,180224,0.029762785715138306,0.2997070252895355,0.31938475370407104,0.35576170682907104,0.3662109375,0.33526611328125,34.1551726937294,88,0.00024651639344262295,1000.0,88.45288888536182,2,-0.046409664032398726,24.967760464549066,273.5800337791443
550.591924771659,64.93662146983964,180224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,277.99021196365356
nan,nan,182272,0.030847042969980976,0.30810546875,0.32343751192092896,0.341064453125,0.3604492247104645,0.33326416015625,34.076129579544066,89,0.0002459016393442623,1000.0,253.98216863174952,2,-0.040570331730123144,27.726798793673517,280.07312273979187
nan,nan,184320,0.0358668290238711,0.3319335877895355,0.34843748807907104,0.3870605528354645,0.41181641817092896,0.36981201171875,34.14897729158402,90,0.00024528688524590164,1000.0,201.93268585713173,2,-0.04817660235858057,22.696149417757987,282.17669582366943
