eval/mean_return,eval/std_return,step,train/approx_kl,train/awfm_max_weight,train/awfm_mean_weight,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,98304,0.0,0.34504992319270966,0.031249999778810888,0.0,0.0,48,0.00027110655737704915,1000.0,-452.4705728973807,2,6.072569123294937e-08,20.458162769675255,103.80672311782837
nan,nan,100352,0.0,0.3774506256682798,0.031249999825377017,0.0,0.0,49,0.0002704918032786885,1000.0,-392.9226055686694,2,9.661461913002843e-07,15.13215511739254,105.35075402259827
-293.98647663162046,49.75032378638054,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,108.9653570652008
nan,nan,102400,0.0,0.3178888664348051,0.031249999831197785,0.0,0.0,50,0.00026987704918032785,1000.0,-452.2096462123808,2,3.617269846731621e-07,25.52948253452778,110.563148021698
nan,nan,104448,0.0,0.3201782067888416,0.031249999883584678,0.0,0.0,51,0.00026926229508196715,1000.0,-444.5847001356831,2,5.361377027634914e-08,22.484507371485233,112.1591591835022
nan,nan,106496,0.0,0.37264682366512714,0.03124999990686774,0.0,0.0,52,0.00026864754098360655,1000.0,-552.0101249830725,2,1.152091409468858e-06,16.59846382588148,113.67036318778992
nan,nan,108544,0.0,0.31193036508047955,0.03124999983701855,0.0,0.0,53,0.0002680327868852459,1000.0,-389.4151667194751,2,1.79570478316248e-08,22.224357935786248,115.26733708381653
nan,nan,110592,0.0,0.23716792531777173,0.031249999592546374,0.0,0.0,54,0.00026741803278688525,1000.0,-625.5300881127469,2,2.36850015329671e-11,36.29711616635323,117.0060441493988
-304.5257352715386,59.027385068054855,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120.63556218147278
nan,nan,112640,0.0,0.3725671595078893,0.03124999987776391,0.0,0.0,55,0.0002668032786885246,1000.0,-419.7389007984873,2,7.969702114040456e-12,19.13293264955282,122.18596720695496
nan,nan,114688,0.0,0.40051523057045413,0.031249999965075402,0.0,0.0,56,0.0002661885245901639,1000.0,-481.00643923720514,2,5.149480621715846e-07,16.897231929004192,123.7211902141571
nan,nan,116736,0.0,0.3287283485056832,0.03124999991268851,0.0,0.0,57,0.00026557377049180324,1000.0,-480.151954659629,2,7.467060262472426e-08,18.79780682474375,125.23765015602112
nan,nan,118784,0.0,0.257633494050242,0.031249999813735486,0.0,0.0,58,0.0002649590163934426,1000.0,-348.6885727867624,2,5.833523794389533e-07,25.1924875497818,126.71459317207336
nan,nan,120832,0.0,0.39757839287631214,0.031249999947613107,0.0,0.0,59,0.00026434426229508194,1000.0,-437.9306927110588,2,6.197655251023984e-07,16.577254953980447,128.19810724258423
-296.93641875329627,84.76383932958097,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,131.63777017593384
nan,nan,122880,0.0,0.3452429712400772,0.031249999796273187,0.0,0.0,60,0.0002637295081967213,1000.0,-528.6756788283508,2,2.3402352980677473e-07,18.696510581672193,133.18920230865479
nan,nan,124928,0.0,0.2570685501093976,0.031249999889405446,0.0,0.0,61,0.00026311475409836063,1000.0,-421.69156112314823,2,3.3753089978877836e-09,28.34590588212013,135.0084092617035
nan,nan,126976,0.0,0.2820527149597183,0.03124999993597157,0.0,0.0,62,0.0002625,1000.0,-543.6775486024285,2,1.1262576581121337e-10,19.70738761872053,136.87930011749268
nan,nan,129024,0.0,0.3056614567525685,0.031249999784631655,0.0,0.0,63,0.00026188524590163933,1000.0,-414.5007208801565,3,3.854147623405112e-12,26.646386751532553,138.51883506774902
nan,nan,131072,0.0,0.38809155218768865,0.03124999955180101,0.0,0.0,64,0.0002612704918032787,1000.0,-433.5575718149872,2,1.4930870197355396e-08,17.826517425477505,140.04799795150757
-235.4443974995908,64.41589317410417,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143.69508004188538
nan,nan,133120,0.0,0.2373653512680903,0.03124999995343387,0.0,0.0,65,0.000260655737704918,1000.0,-331.6445880770589,2,3.7683078768016105e-09,29.29957713186741,145.5431423187256
nan,nan,135168,0.0,0.29363483740016816,0.031249999697320164,0.0,0.0,66,0.0002600409836065573,1000.0,-499.06002175609035,2,1.2377860610993565e-07,12.881046991050244,147.43551015853882
nan,nan,137216,0.0,0.3601333269965835,0.031249999714782463,0.0,0.0,67,0.00025942622950819673,1000.0,-441.14260615682105,2,7.989667860740111e-07,18.204303696751595,148.98503017425537
nan,nan,139264,0.0,0.27741134265670553,0.03124999993597157,0.0,0.0,68,0.000258811475409836,1000.0,-500.5004873260924,2,8.571468302844511e-08,18.50572986602783,150.6103482246399
nan,nan,141312,0.0,0.32677582346368583,0.031249999749707057,0.0,0.0,69,0.00025819672131147537,1000.0,-423.4592452746835,2,7.572968001250647e-07,19.966782493889333,152.37106323242188
-270.39894982496446,75.7233282700229,141312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,155.96440410614014
nan,nan,143360,0.0,0.22224264065735042,0.031249999749707057,0.0,0.0,70,0.0002575819672131147,1000.0,-522.9876333395035,2,8.059102612139419e-09,40.79874995350838,157.52749919891357
nan,nan,145408,0.0,0.2956366343190894,0.031250000069849196,0.0,0.0,71,0.00025696721311475407,1000.0,-463.79943327308945,2,6.5279331063209536e-09,16.76805799305439,159.2425241470337
nan,nan,147456,0.0,0.3220664280583151,0.031249999965075402,0.0,0.0,72,0.0002563524590163934,1000.0,-385.17296386532905,2,9.137076795379047e-10,20.265804293751717,160.78763127326965
nan,nan,149504,0.0,0.3467730096774176,0.031249999772990124,0.0,0.0,73,0.00025573770491803277,1000.0,-413.663609555326,2,2.220343762717967e-09,17.641346073150636,162.3813672065735
nan,nan,151552,0.0,0.2871183637413196,0.031249999901046977,0.0,0.0,74,0.0002551229508196721,1000.0,-392.83721011422165,2,1.996864867101146e-09,19.661775121092795,163.97308230400085
-297.8989738138809,45.50070810843486,151552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,167.65251922607422
nan,nan,153600,0.0,0.2981652003945783,0.031249999767169356,0.0,0.0,75,0.00025450819672131146,1000.0,-342.97083479247726,2,1.416096792457392e-11,22.706226137280463,169.66296124458313
nan,nan,155648,0.0,0.3754256435902789,0.03124999954015948,0.0,0.0,76,0.0002538934426229508,1000.0,-544.4878781746316,2,1.4248341986117141e-06,15.559149315953254,171.68091130256653
nan,nan,157696,0.0,0.1990005328785628,0.031249999743886293,0.0,0.0,77,0.0002532786885245901,1000.0,-514.357124649559,2,2.5615054970135288e-08,40.5275857925415,173.66469717025757
nan,nan,159744,0.0,0.3764807608909905,0.03124999984866008,0.0,0.0,78,0.00025266393442622946,1000.0,-449.14508877119044,2,6.401007241397499e-08,19.648458068072795,175.32335901260376
nan,nan,161792,0.0,0.31453586198622363,0.03124999984866008,0.0,0.0,79,0.0002520491803278688,1000.0,-431.4048001613363,2,2.5274880746887747e-09,22.893380481004716,176.83294701576233
-330.05298391016834,73.25201017255871,161792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,180.31038999557495
nan,nan,163840,0.0,0.31026210605632515,0.03124999993597157,0.0,0.0,80,0.00025143442622950816,1000.0,-519.7908571081415,2,3.443014018623936e-12,17.618318349123,181.94671416282654
nan,nan,165888,0.0,0.40012338717933743,0.03124999973224476,0.0,0.0,81,0.00025081967213114756,1000.0,-474.50615352937467,2,1.4968374021803169e-10,15.941421122848988,183.54192996025085
nan,nan,167936,0.0,0.26733013496268543,0.031249999778810888,0.0,0.0,82,0.0002502049180327869,1000.0,-335.71275957767,2,1.4686656576352013e-07,26.246229168772697,185.1017370223999
nan,nan,169984,0.0,0.29990612182300536,0.031249999860301615,0.0,0.0,83,0.0002495901639344262,1000.0,-392.78037331541043,2,2.2533082261748828e-08,21.98399221599102,186.67467594146729
nan,nan,172032,0.0,0.43519318462349477,0.03124999993597157,0.0,0.0,84,0.00024897540983606555,1000.0,-435.047873608468,3,1.5486713940618735e-08,17.582381597161294,188.42975306510925
-301.94788551236945,95.49737048610216,172032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,191.9466052055359
nan,nan,174080,0.0,0.38049987186677753,0.031250000040745365,0.0,0.0,85,0.0002483606557377049,1000.0,-418.0013686465354,2,1.549022068748352e-07,12.52540522068739,193.69486904144287
nan,nan,176128,0.0,0.2976566821685992,0.03124999983701855,0.0,0.0,86,0.00024774590163934425,1000.0,-316.95284048942983,2,9.480821649012256e-09,25.867479598522188,195.36597299575806
nan,nan,178176,0.0,0.35119131586980074,0.03124999980791472,0.0,0.0,87,0.0002471311475409836,1000.0,-413.82381769840924,2,1.4852168230996665e-11,15.420055961608886,196.95987820625305
nan,nan,180224,0.0,0.3347353142686188,0.031249999994179233,0.0,0.0,88,0.00024651639344262295,1000.0,-397.1893543994388,2,1.446955593974941e-10,18.25436389297247,198.5493540763855
-296.9105370461126,56.62706076785918,180224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,202.2109751701355
nan,nan,182272,0.0,0.4480219523771666,0.03124999962747097,0.0,0.0,89,0.0002459016393442623,1000.0,-432.58067317777284,2,2.5209495271689835e-07,12.370207934081554,203.73600316047668
nan,nan,184320,0.0,0.4501353992032818,0.031249999679857865,0.0,0.0,90,0.00024528688524590164,1000.0,-441.08227210431374,2,2.715904631242781e-07,10.771901772916317,205.2427110671997
nan,nan,186368,0.0,0.41495443985331804,0.03124999981955625,0.0,0.0,91,0.00024467213114754094,1000.0,-448.1836447055364,2,4.429560472825016e-07,14.659109394252301,206.9778871536255
nan,nan,188416,0.0,0.22203559835907072,0.03124999993597157,0.0,0.0,92,0.00024405737704918031,1000.0,-499.500808452092,2,6.192960201836348e-09,25.483928802609444,208.94167518615723
nan,nan,190464,0.0,0.3180407055886462,0.031249999784631655,0.0,0.0,93,0.00024344262295081966,1000.0,-395.909731617375,2,1.0928510332722643e-09,19.368900093436242,211.03476309776306
-316.7258641767613,79.754250368535,190464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,214.6615092754364
nan,nan,192512,0.0,0.23948201518505813,0.031249999918509276,0.0,0.0,94,0.000242827868852459,1000.0,-432.0529390316291,2,1.2816476079006317e-11,30.699802505970002,216.24050617218018
nan,nan,194560,0.0,0.2102708026766777,0.031249999860301615,0.0,0.0,95,0.00024221311475409833,1000.0,-373.46852817620265,2,4.2238096954896147e-13,34.5900305479765,218.0772762298584
nan,nan,196608,0.0,0.24763729736441747,0.031249999778810888,0.0,0.0,96,0.00024159836065573768,1000.0,-512.6671871852584,2,4.215168786286989e-13,26.651408869028092,220.1126561164856
nan,nan,198656,0.0,0.4190008046803996,0.031249999697320164,0.0,0.0,97,0.00024098360655737703,1000.0,-470.2009463450116,2,1.8761321007691396e-10,14.266203019022942,222.00072312355042
nan,nan,200704,0.0,0.19994119743350894,0.0312499999825377,0.0,0.0,98,0.00024036885245901638,1000.0,-444.58786432156853,2,1.9058840984867378e-10,36.672393476963045,223.9967291355133
-304.9806086073619,79.31461796001378,200704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,227.88095617294312
nan,nan,202752,0.0,0.2357999418163672,0.031249999685678632,0.0,0.0,99,0.00023975409836065573,1000.0,-543.9423358973067,2,4.605381787053551e-13,32.68294726908207,229.5987572669983
nan,nan,204800,0.0,0.27356547308154405,0.031249999842839316,0.0,0.0,100,0.00023913934426229505,1000.0,-421.34932716263035,2,4.629942290017633e-13,23.505336385965347,231.23523831367493
nan,nan,206848,0.0,0.4011010058806278,0.031249999813735486,0.0,0.0,101,0.0002385245901639344,1000.0,-448.98738077193786,2,6.054596346919999e-13,15.658964689075948,232.89926195144653
nan,nan,208896,0.0,0.3253919625421986,0.031249999860301615,0.0,0.0,102,0.00023790983606557375,1000.0,-492.2592034444408,2,3.171631158146192e-07,14.709376445412635,234.58244729042053
nan,nan,210944,0.0,0.38647423101356254,0.031250000011641535,0.0,0.0,103,0.00023729508196721307,1000.0,-471.2685291304251,2,2.9117130025380532e-08,17.195791836082936,236.1579692363739
-317.92719447248385,64.0329891961556,210944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,239.56449723243713
nan,nan,212992,0.0,0.3231597292236984,0.031249999802093954,0.0,0.0,104,0.00023668032786885242,1000.0,-428.11804782093736,2,1.1760745796656349e-10,20.91712826937437,241.12009501457214
nan,nan,215040,0.0,0.38984054159373044,0.03124999993597157,0.0,0.0,105,0.00023606557377049177,1000.0,-402.7622071673836,3,2.906147757835988e-07,13.143159066140651,242.79227805137634
nan,nan,217088,0.0,0.39443369654472915,0.03124999984866008,0.0,0.0,106,0.00023545081967213112,1000.0,-438.14145390640385,2,4.1508484029756405e-08,14.771660581231117,244.3848261833191
nan,nan,219136,0.0,0.42048852312145757,0.031249999697320164,0.0,0.0,107,0.0002348360655737705,1000.0,-357.56246931422953,2,9.755723364364192e-07,15.336870585381984,246.48416829109192
nan,nan,221184,0.0,0.42156161423772576,0.031249999901046977,0.0,0.0,108,0.00023422131147540984,1000.0,-392.314295375496,2,7.422816792554793e-08,15.440832382440567,248.11355328559875
-285.55475649953877,89.70088400337578,221184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,251.5020170211792
nan,nan,223232,0.0,0.4265571976429783,0.031249999633291736,0.0,0.0,109,0.00023360655737704916,1000.0,-469.50672208608466,2,3.836807201141942e-09,14.826292252540588,252.98592114448547
nan,nan,225280,0.0,0.4000147349666804,0.031249999930150808,0.0,0.0,110,0.0002329918032786885,1000.0,-515.6217384590304,2,1.2671344456018852e-07,16.31967837512493,254.6087131500244
nan,nan,227328,0.0,0.32378761684522034,0.03124999962747097,0.0,0.0,111,0.00023237704918032786,1000.0,-384.7511908910725,2,1.2137995353810885e-09,16.316905431449413,256.1703932285309
nan,nan,229376,0.0,0.43903426042525096,0.031249999813735486,0.0,0.0,112,0.00023176229508196718,1000.0,-379.62990504542313,2,2.1119641121316897e-08,13.16151852607727,257.71905303001404
nan,nan,231424,0.0,0.3255473951110616,0.031249999842839316,0.0,0.0,113,0.00023114754098360653,1000.0,-473.0754566448335,2,4.484513228088778e-09,16.105043476819993,259.4515600204468
-290.215736188891,33.45095540544213,231424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,263.4757421016693
nan,nan,233472,0.0,0.41112877351697535,0.031249999674037097,0.0,0.0,114,0.00023053278688524588,1000.0,-444.566819587464,2,4.0894883272725356e-07,15.421373099088669,265.37044310569763
nan,nan,235520,0.0,0.3873500700574368,0.03124999986612238,0.0,0.0,115,0.00022991803278688523,1000.0,-425.873569808422,2,4.994386495124725e-07,15.73340613245964,267.00930309295654
nan,nan,237568,0.0,0.2699098908691667,0.031249999674037097,0.0,0.0,116,0.00022930327868852458,1000.0,-366.0663614697339,2,1.3575416522456294e-08,23.20926328599453,268.61926198005676
nan,nan,239616,0.0,0.39447719712043183,0.03124999987776391,0.0,0.0,117,0.00022868852459016393,1000.0,-426.8093597243116,2,5.4943397989915754e-08,16.071672609448434,270.23208498954773
nan,nan,241664,0.0,0.4893208107096143,0.03124999980791472,0.0,0.0,118,0.00022807377049180325,1000.0,-507.4104122129164,2,9.992185911989188e-08,11.094497222453356,271.77536725997925
-304.733292805371,131.99479093593007,241664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,275.18949723243713
nan,nan,243712,0.0,0.3802813153131865,0.031249999854480848,0.0,0.0,119,0.0002274590163934426,1000.0,-456.84462372637415,2,2.831698722691939e-09,17.768496663868426,276.6995520591736
nan,nan,245760,0.0,0.3770723791327327,0.03124999994179234,0.0,0.0,120,0.00022684426229508195,1000.0,-504.1889278372095,2,6.273786966791594e-08,15.645660074055195,278.1910102367401
nan,nan,247808,0.0,0.29267057495890186,0.03124999983701855,0.0,0.0,121,0.00022622950819672127,1000.0,-397.3859540877188,2,8.470224241531009e-10,20.991878682374953,279.6727931499481
nan,nan,249856,0.0,0.3688382059917785,0.03124999986612238,0.0,0.0,122,0.00022561475409836062,1000.0,-429.0686816713048,2,4.996118257146131e-13,17.835705687105655,281.2313611507416
nan,nan,251904,0.0,0.29970023909118026,0.031249999976716937,0.0,0.0,123,0.000225,1000.0,-462.0230896602576,2,1.2389985394315508e-10,21.080733132362365,282.78847002983093
-284.02885871385075,41.073314593847584,251904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,286.2411210536957
nan,nan,253952,0.0,0.3524215954821557,0.03124999983701855,0.0,0.0,124,0.00022438524590163934,1000.0,-389.0418533150731,2,7.472759933988824e-12,16.89720150232315,287.88588428497314
nan,nan,256000,0.0,0.3947210484649986,0.031249999755527825,0.0,0.0,125,0.0002237704918032787,1000.0,-429.51936995672526,3,4.0305516035488746e-07,16.366616477072238,289.4462170600891
nan,nan,258048,0.0,0.2548618486849591,0.03124999989522621,0.0,0.0,126,0.00022315573770491804,1000.0,-487.0027535551317,2,5.075584283035245e-09,21.94539749622345,291.00589323043823
nan,nan,260096,0.0,0.45431030575418846,0.03124999984866008,0.0,0.0,127,0.00022254098360655736,1000.0,-441.3297057035081,2,5.161067728664324e-07,14.912928040325642,292.5106451511383
-261.2937513051298,76.66005406054911,260096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,296.26598930358887
nan,nan,262144,0.0,0.3683597763068974,0.031250000046566126,0.0,0.0,128,0.0002219262295081967,1000.0,-499.90589783259077,2,3.445526437429558e-08,17.433736580610276,297.7792751789093
