eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,65536,0.08571007618011209,0.20937499403953552,0.21064452826976776,0.22177734971046448,0.25200194120407104,0.27119141817092896,0.272705078125,0.2732910215854645,0.26762694120407104,0.24732666015625,68.7328955411911,32,0.0002809426229508196,1000.0,-245.63886745563582,2,-0.0407774042483652,7.476941538602114,182.38172698020935
nan,nan,67584,0.06106554893522116,0.15522460639476776,0.159423828125,0.16748046875,0.19057616591453552,0.2080078125,0.22080078721046448,0.20341797173023224,0.20205077528953552,0.188372802734375,68.66520216464997,33,0.00028032786885245903,1000.0,-237.7141187854407,2,-0.045066389119892844,9.122176214307547,186.77609300613403
nan,nan,69632,0.04710516658378765,0.11210937798023224,0.11982421576976776,0.13115234673023224,0.15297850966453552,0.164306640625,0.16621093451976776,0.164306640625,0.16411133110523224,0.146875,68.49190969467163,34,0.0002797131147540983,1000.0,-224.1506979645244,2,-0.042588939500274134,14.483951117098332,191.09749102592468
nan,nan,71680,0.060027461706704345,0.14794921875,0.14838866889476776,0.16069336235523224,0.18886718153953552,0.21577148139476776,0.21083983778953552,0.21503905951976776,0.21796874701976776,0.188189697265625,68.60415894985199,35,0.00027909836065573767,1000.0,-283.275984186644,2,-0.04478273325075861,10.19358169734478,195.57094502449036
-111.76879993021649,66.28956266691115,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,204.97505593299866
nan,nan,73728,0.047542806423007275,0.12138672173023224,0.11855468899011612,0.13359375298023224,0.14907225966453552,0.165771484375,0.17275390028953552,0.16635742783546448,0.16977539658546448,0.149658203125,68.4796142578125,36,0.000278483606557377,1000.0,-220.3810831006856,2,-0.044296598568325865,14.562788012623788,209.76365089416504
nan,nan,75776,0.05975874485557142,0.14511719346046448,0.15434570610523224,0.15781250596046448,0.193603515625,0.20654296875,0.21337890625,0.20966796576976776,0.20942382514476776,0.186236572265625,68.5135760307312,37,0.00027786885245901637,1000.0,-290.10555294220586,2,-0.04450595291564241,11.370085267722606,214.62462091445923
nan,nan,77824,0.07764478663593763,0.18461914360523224,0.18906250596046448,0.21684570610523224,0.236328125,0.25532227754592896,0.2705078125,0.26166993379592896,0.24672850966453552,0.232635498046875,68.74794821739196,38,0.0002772540983606557,1000.0,-191.42581566722546,2,-0.04451136159477755,8.610678313672542,218.79895091056824
nan,nan,79872,0.07361451498873066,0.17280273139476776,0.17138671875,0.19580078125,0.21586914360523224,0.249755859375,0.2569824159145355,0.24755859375,0.24321289360523224,0.219171142578125,68.64169521331787,39,0.00027663934426229507,1000.0,-168.52035833011848,2,-0.04128912988235243,9.11358926743269,223.120365858078
nan,nan,81920,0.06570811224737554,0.15571288764476776,0.16240234673023224,0.18222656846046448,0.20644530653953552,0.21640625596046448,0.22797851264476776,0.232177734375,0.22099609673023224,0.200543212890625,68.66311748027802,40,0.0002760245901639344,1000.0,-190.67949949184057,2,-0.04598672643478494,8.653814709186554,228.1686339378357
-145.93352500127716,115.94607064433762,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,237.66864490509033
nan,nan,83968,0.05686413731527864,0.14711913466453552,0.14140625298023224,0.15986327826976776,0.181640625,0.20541992783546448,0.20517578721046448,0.19125977158546448,0.19194336235523224,0.177978515625,68.60051639080048,41,0.00027540983606557377,1000.0,-362.53014455714765,2,-0.04653098043636419,13.533053220808506,241.75655603408813
nan,nan,86016,0.06817036620850558,0.16323241591453552,0.17763671278953552,0.18369141221046448,0.21279296278953552,0.22963866591453552,0.23403319716453552,0.235107421875,0.23076172173023224,0.20836181640625,68.60313472747802,42,0.0002747950819672131,1000.0,-209.58679136874733,3,-0.04635646835959051,9.72910409271717,246.46873497962952
nan,nan,88064,0.07596645603553043,0.19536133110523224,0.19453124701976776,0.21552734076976776,0.22792968153953552,0.24658203125,0.24819335341453552,0.2510742247104645,0.2508789002895355,0.228759765625,69.02815017700195,43,0.0002741803278688524,1000.0,-174.15568217055173,2,-0.04627494714804925,9.967232018709183,250.00128698349
nan,nan,90112,0.07743224345686031,0.19150391221046448,0.19970703125,0.211669921875,0.24057617783546448,0.2545410096645355,0.2671875059604645,0.2554687559604645,0.2540039122104645,0.234332275390625,68.69143009185791,44,0.00027356557377049176,1000.0,-141.10890176046087,2,-0.04389252305263654,9.006270025670528,255.884428024292
-131.85090322080356,104.73666069778122,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,266.11265993118286
nan,nan,92160,0.08188066354523471,0.19350585341453552,0.204833984375,0.22197265923023224,0.2515625059604645,0.25043946504592896,0.26679688692092896,0.27607423067092896,0.264404296875,0.24119873046875,68.73726639747619,45,0.0002729508196721311,1000.0,-218.04149882700239,2,-0.04629200597701129,9.355615840852261,270.22872495651245
nan,nan,94208,0.07264242846576963,0.16533203423023224,0.17666015028953552,0.19814452528953552,0.22993163764476776,0.25126951932907104,0.24907226860523224,0.2560058534145355,0.24267578125,0.221136474609375,68.78038840293884,46,0.00027233606557377046,1000.0,-194.13623863764812,2,-0.047567727630666926,9.615182562172413,274.291063785553
nan,nan,96256,0.07755846050458785,0.19853515923023224,0.19497069716453552,0.21176758408546448,0.224365234375,0.24560546875,0.24741211533546448,0.2549804747104645,0.239990234375,0.227203369140625,69.00676221847534,47,0.0002717213114754098,1000.0,-205.40177844615144,2,-0.05244183022878133,9.713504447042942,279.7198588848114
nan,nan,98304,0.06347783509991131,0.15224608778953552,0.15815429389476776,0.17695312201976776,0.19204100966453552,0.20571288466453552,0.224365234375,0.22465820610523224,0.2197265625,0.194232177734375,68.71055579185486,48,0.00027110655737704915,1000.0,-118.68279756818964,2,-0.05052703374822158,10.965716996788979,284.5677719116211
nan,nan,100352,0.06118949063384207,0.156982421875,0.15590819716453552,0.16367188096046448,0.19233398139476776,0.21142578125,0.21127930283546448,0.21528320014476776,0.21059569716453552,0.18968505859375,68.69427108764648,49,0.0002704918032786885,1000.0,-176.90229870907189,2,-0.04738011589506641,12.631885841488838,290.0104899406433
-85.35022767356881,67.34369325700075,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,299.4238278865814
nan,nan,102400,0.06805826825075201,0.15937499701976776,0.16816405951976776,0.1943359375,0.21147461235523224,0.23813477158546448,0.23833008110523224,0.23037108778953552,0.22128906846046448,0.207684326171875,69.04037761688232,50,0.00026987704918032785,1000.0,-281.52105310512013,2,-0.048989268363220616,12.678694321215152,303.9631497859955
nan,nan,104448,0.07518795668547681,0.17861327528953552,0.19438476860523224,0.20839843153953552,0.22841796278953552,0.25737303495407104,0.2588867247104645,0.24335937201976776,0.2503906190395355,0.22747802734375,68.92091233730316,51,0.00026926229508196715,1000.0,-248.35479680275077,2,-0.04969389438920189,10.40799221098423,309.50752806663513
nan,nan,106496,0.10327204261047881,0.2353515625,0.23095703125,0.2532714903354645,0.2894531190395355,0.29863280057907104,0.31391602754592896,0.31000977754592896,0.29790037870407104,0.2786865234375,68.96885707378388,52,0.00026864754098360655,1000.0,-230.70207981149065,2,-0.042027474544011054,7.559622502326965,315.65635108947754
nan,nan,108544,0.07606156026158714,0.18735352158546448,0.17778320610523224,0.20009765028953552,0.22519531846046448,0.25703126192092896,0.262939453125,0.2618164122104645,0.24931640923023224,0.227691650390625,68.98763630390167,53,0.0002680327868852459,1000.0,-137.81272527159388,2,-0.046063518754090184,9.900376459956169,321.8092818260193
