eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,train/weight_step_10,train/weight_step_11,train/weight_step_12,train/weight_step_13,train/weight_step_14,train/weight_step_15,train/weight_step_2,train/weight_step_3,train/weight_step_4,train/weight_step_5,train/weight_step_6,train/weight_step_7,train/weight_step_8,train/weight_step_9,wall_time
nan,nan,36864,0.010543071642496215,0.00913085974752903,0.010302734561264515,0.02094726637005806,0.02421874925494194,0.02675781212747097,0.027587890625,0.02822265587747097,0.02749023400247097,0.00991210900247097,0.00927734375,0.009521484375,0.01186523400247097,0.015576171688735485,0.015869140625,0.02065429650247097,0.020263671875,0.017974853515625,68.17580237388611,18,0.00028954918032786885,106.78947368421052,196.69321323136057,19,-0.003907756367698312,11.744539104774594,0.06122716888785362,0.06018694117665291,0.06595668941736221,0.06441489607095718,0.06134859099984169,0.061207231134176254,0.0679052323102951,0.06536129862070084,0.06213190034031868,0.0592823326587677,0.06385087221860886,0.05870673060417175,0.0618152879178524,0.062256213277578354,0.0607733353972435,0.06357528269290924,87.22016096115112
nan,nan,38912,0.012815839386166771,0.010937499813735485,0.011767578311264515,0.03315429762005806,0.03486328199505806,0.04365234449505806,0.03789062425494194,0.03642578050494194,0.036865234375,0.01401367224752903,0.01547851599752903,0.01694335974752903,0.02944335900247097,0.02729492262005806,0.02734375,0.02685546875,0.02880859375,0.026983642578125,68.34507050514222,19,0.0002889344262295082,111.42105263157895,203.1576746287088,19,-0.004348079516785219,1.383903107047081,0.0608644001185894,0.05811794847249985,0.06606192886829376,0.06453794240951538,0.06212164834141731,0.06085188314318657,0.07098618894815445,0.06328490376472473,0.062412407249212265,0.05776531621813774,0.06364306807518005,0.05685925483703613,0.06373481452465057,0.06284357607364655,0.061931561678647995,0.06398307532072067,91.98696398735046
nan,nan,40960,0.008928481012117118,0.010449218563735485,0.011914062313735485,0.01606445387005806,0.01694335974752903,0.01655273512005806,0.01752929762005806,0.01616210862994194,0.01796874962747097,0.01015624962747097,0.011425781063735485,0.01333007775247097,0.01132812537252903,0.01552734337747097,0.016845703125,0.01738281175494194,0.01679687574505806,0.0147735595703125,68.38615643978119,20,0.00028831967213114755,101.84210526315789,193.03844875196054,19,-0.0067127882764907556,9.868240894936026,0.060112398117780685,0.058993469923734665,0.06640321016311646,0.06501178443431854,0.0637044832110405,0.06019529700279236,0.07038062810897827,0.0629219114780426,0.06206363067030907,0.05789416655898094,0.06380831450223923,0.05620193108916283,0.06344449520111084,0.0630115494132042,0.061863455921411514,0.06398924440145493,96.70636510848999
184.07717606054706,19.038908903248537,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.84457397460938
nan,nan,43008,0.010536708436302434,0.0025390624068677425,0.004345702938735485,0.02333984337747097,0.02773437462747097,0.02294921875,0.03066406212747097,0.029052734375,0.02163085900247097,0.007128906436264515,0.0074218749068677425,0.0077148438431322575,0.00991210900247097,0.01499023474752903,0.01821289025247097,0.02216796949505806,0.02871093712747097,0.0174072265625,68.42599635124206,21,0.00028770491803278684,93.1304347826087,178.16205387100513,23,-0.0032176402484765275,46.3108949482441,0.05999775230884552,0.058864470571279526,0.06644443422555923,0.06494750082492828,0.06392115354537964,0.060122594237327576,0.07058332115411758,0.06313692778348923,0.06194889545440674,0.05801799148321152,0.06350676715373993,0.056202325969934464,0.0631677433848381,0.06297728419303894,0.061903391033411026,0.0642574205994606,102.54894709587097
nan,nan,45056,0.015550144816916144,0.02968749962747097,0.025634765625,0.04169921949505806,0.04384765774011612,0.04428710788488388,0.04453124850988388,0.04033203050494194,0.03720702975988388,0.02387695387005806,0.02290039137005806,0.02753906324505806,0.03452148288488388,0.04233398288488388,0.03842773288488388,0.03935546800494194,0.04277343675494194,0.0361846923828125,68.23720326423646,22,0.0002870901639344262,103.94736842105263,198.2649216900321,19,-0.004150330933043733,0.6076688763685525,0.05962367355823517,0.058647047728300095,0.0663788765668869,0.06239336356520653,0.06398255378007889,0.060419823974370956,0.0717296227812767,0.06330038607120514,0.06249364838004112,0.05723942071199417,0.06410390883684158,0.054304759949445724,0.06486650556325912,0.064112089574337,0.06164766848087311,0.06475669890642166,107.31082510948181
nan,nan,47104,0.012478383207962906,0.01850586012005806,0.01674804650247097,0.02749023400247097,0.03022461012005806,0.03022461012005806,0.02978515625,0.028076171875,0.025634765625,0.02021484449505806,0.01845703087747097,0.02138671837747097,0.01958007737994194,0.02983398362994194,0.03129882737994194,0.02607421949505806,0.03281249850988388,0.025396728515625,68.21831178665161,23,0.00028647540983606554,110.89473684210526,205.4285137967631,19,-0.004804973071441054,0.5005493662785738,0.060262102633714676,0.05778712406754494,0.06579285860061646,0.062109772115945816,0.06354758143424988,0.06026318669319153,0.07213549315929413,0.06356890499591827,0.061320751905441284,0.05780128762125969,0.06349095702171326,0.05500397831201553,0.06519163399934769,0.06544855237007141,0.06271622329950333,0.06355959922075272,112.04388904571533
nan,nan,49152,0.015403749614415574,0.04130859300494194,0.03876953199505806,0.03120117262005806,0.03989257663488388,0.04843749850988388,0.04116211086511612,0.03867187350988388,0.02778320387005806,0.02783203125,0.02133789099752903,0.02651367150247097,0.03867187350988388,0.0439453125,0.03876953199505806,0.03510742262005806,0.02944335900247097,0.035552978515625,68.34954841136933,24,0.0002858606557377049,108.89473684210526,200.42459323355322,19,-0.006300669637857937,0.5089437042362988,0.06323888897895813,0.05914976820349693,0.06690247356891632,0.06093849614262581,0.061077531427145004,0.061935488134622574,0.07254461199045181,0.06481928378343582,0.05980195105075836,0.056577201932668686,0.062251120805740356,0.05395742133259773,0.06406685709953308,0.06634516268968582,0.06349694728851318,0.06289678812026978,116.7219181060791
nan,nan,51200,0.009712522248264577,0.0077148438431322575,0.010058593936264515,0.01894531212747097,0.02260742150247097,0.02583007887005806,0.02685546875,0.02617187425494194,0.02373046800494194,0.0059570311568677425,0.008593750186264515,0.008007812313735485,0.01528320275247097,0.01752929762005806,0.01630859449505806,0.01601562462747097,0.014355468563735485,0.016497802734375,68.3650366306305,25,0.00028524590163934424,109.94444444444444,203.1989784783672,18,-0.0045939453761093315,0.7695490912534296,0.06368280202150345,0.05801379680633545,0.06660865247249603,0.061413489282131195,0.060895491391420364,0.06153101846575737,0.07265803217887878,0.065445676445961,0.05951378121972084,0.05692881718277931,0.06155771762132645,0.053053826093673706,0.06476947665214539,0.06670165807008743,0.06364046782255173,0.0635853260755539,121.42222094535828
210.32273504576068,3.2651474123802267,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.71937108039856
nan,nan,53248,0.011915121625679603,0.008251952938735485,0.00917968712747097,0.02890625037252903,0.03203124925494194,0.02973632887005806,0.03212890774011612,0.03281249850988388,0.03076171875,0.0071777342818677425,0.009472656063735485,0.01796874962747097,0.020263671875,0.02475585974752903,0.02338867262005806,0.02446288987994194,0.02456054650247097,0.0222412109375,68.27174048423767,26,0.0002846311475409836,110.15789473684211,206.52657748441806,19,-0.005787546208011918,0.628609136864543,0.06288465112447739,0.057626549154520035,0.06812618672847748,0.06112024188041687,0.06037016212940216,0.062176186591386795,0.07264003902673721,0.0656588077545166,0.05875559151172638,0.05611005425453186,0.06065545231103897,0.05461347475647926,0.06477538496255875,0.06778625398874283,0.06360321491956711,0.06309772282838821,127.36171984672546
nan,nan,55296,0.010323922074167057,0.009082031436264515,0.012890624813735485,0.0205078125,0.0185546875,0.021728515625,0.02651367150247097,0.019287109375,0.018310546875,0.00795898400247097,0.008544921875,0.0107421875,0.01645507849752903,0.02016601525247097,0.01943359337747097,0.01674804650247097,0.01791992224752903,0.016552734375,67.95194501876831,27,0.00028401639344262294,119.11764705882354,220.46116730314472,17,-0.0031213394278893246,2.03106977827847,0.0630304366350174,0.05711657926440239,0.06766185164451599,0.06158438324928284,0.06078381836414337,0.061901457607746124,0.07161092758178711,0.06563590466976166,0.058992136269807816,0.0559491403400898,0.06082923337817192,0.05506473034620285,0.0648125633597374,0.0680425614118576,0.0637717917561531,0.0632125660777092,132.15892219543457
nan,nan,57344,0.010994299337653501,0.01997070387005806,0.011523437686264515,0.01689453050494194,0.01904296875,0.02739257737994194,0.029541015625,0.01767578162252903,0.02724609337747097,0.009082031436264515,0.00961914099752903,0.011279297061264515,0.01889648474752903,0.02529296837747097,0.01992187462747097,0.014697265811264515,0.0185546875,0.0185394287109375,68.34420580863953,28,0.0002834016393442623,125.8125,234.8882746227851,16,-0.005301906302338466,2.4532511163502932,0.06265587359666824,0.057254575192928314,0.0670197457075119,0.061618175357580185,0.06059005856513977,0.06305407732725143,0.07169903069734573,0.06504379212856293,0.05823121964931488,0.0561881847679615,0.06086387857794762,0.055972013622522354,0.06406641006469727,0.0686560645699501,0.06354334205389023,0.06354349851608276,136.94587993621826
nan,nan,59392,0.009795956387097248,0.014453125186264515,0.015625,0.01655273512005806,0.01992187462747097,0.0205078125,0.02363281324505806,0.02187499962747097,0.02016601525247097,0.010546875186264515,0.00966796837747097,0.01040039025247097,0.01552734337747097,0.0146484375,0.01889648474752903,0.01704101637005806,0.01621093787252903,0.0166046142578125,68.37043175697326,29,0.00028278688524590163,135.33333333333334,244.73535061978643,15,-0.004776662631775253,2.390950476191938,0.06302628666162491,0.0574667826294899,0.06696347892284393,0.06124377250671387,0.061065226793289185,0.0630771592259407,0.0713295266032219,0.06514331698417664,0.05856718495488167,0.055984050035476685,0.06116766855120659,0.05597207695245743,0.06416101008653641,0.06853094696998596,0.06317859888076782,0.0631229504942894,141.67948603630066
nan,nan,61440,0.009663987118801742,0.013916015625,0.01206054724752903,0.01982421800494194,0.02104492112994194,0.026123046875,0.02797851525247097,0.021240234375,0.02890625037252903,0.011181640438735485,0.01010742224752903,0.01040039025247097,0.01552734337747097,0.01821289025247097,0.02021484449505806,0.01953125,0.01953125,0.018487548828125,68.30875511169434,30,0.00028217213114754093,160.6153846153846,272.48684788392325,13,-0.004640345703228377,5.339198246225715,0.0627560243010521,0.05775642395019531,0.06708937138319016,0.060980770736932755,0.060731738805770874,0.06344234943389893,0.07245022058486938,0.0654372125864029,0.058242592960596085,0.05604979395866394,0.0610133558511734,0.05572602525353432,0.06411818414926529,0.0683671161532402,0.06295105069875717,0.06288780272006989,146.41622805595398
244.9070789896591,12.872650551504531,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,147.9132161140442
nan,nan,63488,0.0115728934208164,0.01821289025247097,0.01513671875,0.02973632887005806,0.02944335900247097,0.03730468824505806,0.03227538987994194,0.03305663913488388,0.03632812574505806,0.0087890625,0.010498046875,0.01503906212747097,0.0224609375,0.02250976487994194,0.02250976487994194,0.019775390625,0.02065429650247097,0.023358154296875,68.1938042640686,31,0.0002815573770491803,139.66666666666666,254.6555647599741,15,-0.005251611929270439,2.6582194846123457,0.062415558844804764,0.057752374559640884,0.066669762134552,0.06116976961493492,0.06092812865972519,0.06297963112592697,0.07311876118183136,0.06639071553945541,0.057704467326402664,0.056141987442970276,0.0613626092672348,0.05585877224802971,0.06372472643852234,0.06842304766178131,0.06337333470582962,0.0619862861931324,152.53192400932312
