eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,36864,10.091236824108638,0.09282226860523224,0.4249511659145355,0.7357422113418579,0.870800793170929,0.5310791015625,19.26485832929611,117.75897582769394,51.09809324741364,18,0.00028954918032786885,1000.0,-554.3174532187339,2,-4.2377397660166025,13.22555520683527,47.34503197669983
nan,nan,38912,11.816690183599713,0.04692382737994194,0.2916015684604645,0.6595703363418579,0.822021484375,0.455029296875,23.312510281801224,161.29035832881928,70.31983050107957,19,0.0002889344262295082,1000.0,-429.88429012148663,2,-2.0902082860469817,6.980917626619339,49.47848606109619
nan,nan,40960,17.656613844493403,0.0546875,0.22617188096046448,0.732373058795929,0.93359375,0.48670654296875,28.413318973779678,227.27697670459747,134.4395480275154,20,0.00028831967213114755,1000.0,-495.99159744137387,2,-7.7528034210205075,6.613065162301064,51.631842851638794
-588.9758825895781,5.18307671195995,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55.24434208869934
nan,nan,43008,20.866885647099117,0.05722656100988388,0.19755859673023224,0.8429199457168579,0.956591784954071,0.51357421875,30.364224743843078,299.3853628158569,200.14415862560273,21,0.00028770491803278684,1000.0,-539.1759842044461,3,-8.478718915581704,9.522780525125563,57.298351764678955
nan,nan,45056,25.628554483805782,0.04511718824505806,0.18701171875,0.924121081829071,0.989453136920929,0.53642578125,32.286635994911194,384.0188259601593,293.33808479309084,22,0.0002870901639344262,1000.0,-585.3947456214213,2,-11.007326200604439,7.423381869588047,59.46878695487976
nan,nan,47104,24.391405303450302,0.03310547024011612,0.15190429985523224,0.8785644769668579,0.982714831829071,0.511572265625,32.62162754535675,417.7042734146118,480.3553326010704,23,0.00028647540983606554,1000.0,-596.1203822616674,2,-7.719763773679733,8.070509535400197,61.83941674232483
nan,nan,49152,31.83411921230145,0.03984374925494194,0.17622070014476776,0.947802722454071,0.986621081829071,0.5376220703125,34.5268828868866,457.73350915908816,654.9175941228866,24,0.0002858606557377049,1000.0,-600.8898630383528,2,-4.4110941082239155,8.775793709303253,64.253262758255
nan,nan,51200,35.29838335623499,0.034423828125,0.17104491591453552,0.9625488519668579,0.9898926019668579,0.5394775390625,37.261995458602904,496.47690949440005,691.8509371042252,25,0.00028524590163934424,1000.0,-599.3733088807751,2,-12.5123161226511,9.265700277918949,66.50632786750793
-598.2748287806594,2.667758456259828,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,70.1024079322815
nan,nan,53248,35.18426504425006,0.03164062649011612,0.16650390625,0.950146496295929,0.98388671875,0.53304443359375,37.913033759593965,491.949959897995,728.2618061065674,26,0.0002846311475409836,1000.0,-597.3307755013184,2,-12.449357843399047,9.841272447397932,72.16721200942993
nan,nan,55296,19.615893398647312,0.033203125,0.09501953423023224,0.5812011957168579,0.990673840045929,0.4250244140625,31.620216846466064,424.5476201057434,636.1375847458839,27,0.00028401639344262294,1000.0,-596.3304725654775,2,-8.034718039631844,10.399929172312842,74.4769458770752
nan,nan,57344,19.77848456427455,0.010205077938735485,0.09028320014476776,0.4891601502895355,0.994824230670929,0.3961181640625,29.687171483039855,385.76842365264895,517.7071922898292,28,0.0002834016393442623,1000.0,-594.0069460813261,2,-11.667212015390396,10.763770744018256,76.71308588981628
nan,nan,59392,18.27909765026998,0.02456054650247097,0.09355469048023224,0.4053710997104645,0.980517566204071,0.3760009765625,30.41961318254471,405.94261560440066,303.8712017178535,29,0.00028278688524590163,1000.0,-598.0053657197865,2,-7.674995855987072,11.032095650397242,78.92410969734192
nan,nan,61440,18.451363887125627,0.010546875186264515,0.08437500149011612,0.36479490995407104,0.985058605670929,0.36119384765625,30.537895768880844,401.758874797821,280.385692679882,30,0.00028217213114754093,1000.0,-597.2138001040573,2,-10.676863658428193,11.155005479464307,81.10387992858887
-599.5934265766848,2.5761359836425197,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.71516799926758
nan,nan,63488,18.13116121713538,0.010498046875,0.0849609375,0.3408203125,0.987109363079071,0.35584716796875,30.743131870031355,411.72687287330626,178.7317106127739,31,0.0002815573770491803,1000.0,-598.0839322260063,2,-11.75887568295002,11.374984352570028,86.79986095428467
nan,nan,65536,18.17274023280479,0.01840820349752903,0.08295898139476776,0.3009277284145355,0.993115246295929,0.3488525390625,30.905159825086592,406.6669941902161,149.9502086162567,32,0.0002809426229508196,1000.0,-595.1040792688937,2,-12.38114149570465,11.427752707758918,89.04272890090942
nan,nan,67584,17.85830170812551,0.02968749962747097,0.082275390625,0.294921875,0.977490246295929,0.34609375,30.87732527256012,417.7829306125641,161.85169974565505,33,0.00028032786885245903,1000.0,-596.3056711894471,2,-10.64610667526722,11.641548411827534,91.28313708305359
nan,nan,69632,18.632773867057402,0.02451171912252903,0.08281250298023224,0.3389648497104645,0.9896484613418579,0.358984375,30.51079130768776,393.59556355476377,215.76492186784745,34,0.0002797131147540983,1000.0,-595.3899641159061,2,-11.399598971009254,11.747727040667087,93.47545385360718
nan,nan,71680,18.1099080740707,0.03022461012005806,0.07099609076976776,0.29248046875,0.9849609136581421,0.34466552734375,30.513686144351958,407.9752086639404,191.16500177383423,35,0.00027909836065573767,1000.0,-596.0577863476669,2,-11.346510636806489,11.969401794904844,95.74915409088135
-597.4495171451529,4.140644421690598,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.38968181610107
nan,nan,73728,17.777961928292644,0.012255859561264515,0.060546875,0.2544921934604645,0.9847656488418579,0.32801513671875,30.805717444419862,409.03587164878843,126.38470056056977,36,0.000278483606557377,1000.0,-593.4528287066091,2,-11.431545343995094,12.075395827461033,101.44853186607361
nan,nan,75776,18.12429775209166,0.02143554762005806,0.07875976711511612,0.25493162870407104,0.992138683795929,0.33681640625,31.173880726099014,410.9422940254211,128.2158039331436,37,0.00027786885245901637,1000.0,-597.0645717827525,2,-12.680928260087967,12.155825746431947,103.55186367034912
nan,nan,77824,17.913987682678272,0.04389648512005806,0.08955077826976776,0.26557618379592896,0.984570324420929,0.3458984375,30.91936911344528,419.7117727279663,127.17036355733872,38,0.0002772540983606557,1000.0,-592.9017795083752,2,-12.523018017411232,12.313628436345606,105.86119675636292
nan,nan,79872,17.705578727065586,0.04345703125,0.10454101860523224,0.24604491889476776,0.9852050542831421,0.34481201171875,30.91907980442047,413.32789716720583,110.70648810863494,39,0.00027663934426229507,1000.0,-595.4183061888348,2,-11.898809768259525,12.380968538671732,108.06413173675537
nan,nan,81920,18.109259771415964,0.05966796725988388,0.10751952975988388,0.279052734375,0.982373058795929,0.3571533203125,30.42423164844513,410.8493959903717,159.33535566329957,40,0.0002760245901639344,1000.0,-600.2238500341196,2,-11.449663195014,12.34138701884076,110.23034811019897
-598.0717293506615,3.411057265982487,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,113.8331778049469
nan,nan,83968,17.967741592036326,0.06123046949505806,0.12001953274011612,0.2874999940395355,0.984912097454071,0.36341552734375,30.56546174287796,396.3473370075226,116.49971661567687,41,0.00027540983606557377,1000.0,-595.9742700446857,2,-11.89049733877182,12.332779469620437,115.94275307655334
nan,nan,86016,18.177753554075025,0.04169921949505806,0.10268554836511612,0.26762694120407104,0.987548828125,0.34989013671875,31.04196979999542,349.5368017911911,147.94596529006958,42,0.0002747950819672131,1000.0,-601.936129330511,3,-11.357596485316753,17.844003276340665,118.14067387580872
nan,nan,88064,17.303164240182376,0.04916992038488388,0.11103515326976776,0.26459962129592896,0.978515625,0.350830078125,30.813753432035448,408.6140951156616,102.32387677431106,43,0.0002741803278688524,1000.0,-601.0300875094624,2,-11.287619298696518,12.062602749839424,120.38382005691528
nan,nan,90112,18.32903816187754,0.02407226525247097,0.08681640774011612,0.23447266221046448,0.991992175579071,0.33433837890625,31.587993490695954,429.8597690582275,119.81097538471222,44,0.00027356557377049176,1000.0,-596.584378758188,2,-12.231106323003768,12.150478627718986,122.58869981765747
-596.4106375936236,3.568166183793101,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,126.25477290153503
nan,nan,92160,17.96445796361659,0.03173828125,0.07280273735523224,0.23920898139476776,0.9808593988418579,0.33115234375,31.444519793987276,421.1280641555786,108.53413228988647,45,0.0002729508196721311,1000.0,-597.5324371585309,2,-12.276605769991875,12.22221918432042,128.44300889968872
nan,nan,94208,18.56576267145574,0.03510742262005806,0.08769531548023224,0.2640624940395355,0.995068371295929,0.3454833984375,31.39251548051834,413.930965423584,127.30547052621841,46,0.00027233606557377046,1000.0,-592.2035741928471,2,-12.251784101128578,12.206969811022281,130.57167291641235
nan,nan,96256,18.280389335937798,0.02402343787252903,0.06870117038488388,0.231689453125,0.9944823980331421,0.32972412109375,31.549305057525636,417.2124886035919,107.77129092216492,47,0.0002717213114754098,1000.0,-599.7194724048986,2,-12.809070971608161,12.20452888654545,132.78462171554565
nan,nan,98304,18.01216850373894,0.02573242224752903,0.06938476860523224,0.23789063096046448,0.994140625,0.331787109375,31.584080272912978,424.5362507343292,96.48170737028121,48,0.00027110655737704915,1000.0,-593.2860234511295,2,-12.67839844226837,12.195811913860961,135.0007688999176
nan,nan,100352,18.547941333800555,0.03676757961511612,0.09565429389476776,0.271484375,0.994384765625,0.34957275390625,31.353143495321273,414.14991979599,127.77050703763962,49,0.0002704918032786885,1000.0,-599.7561144759247,2,-12.379917973279953,12.247352166101336,137.21667790412903
-598.7201764370031,3.716415637328135,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140.8340928554535
nan,nan,102400,17.72486260610167,0.043701171875,0.07280273735523224,0.21762695908546448,0.988330066204071,0.330615234375,31.523177123069765,421.9358159065247,90.92963969707489,50,0.00026987704918032785,1000.0,-593.9452808099627,2,-12.132870134711265,12.298646229412407,142.9470410346985
nan,nan,104448,17.82396586399991,0.02768554724752903,0.08037109673023224,0.23715820908546448,0.986376941204071,0.33289794921875,31.506883561611176,419.77754645347596,106.01873520612716,51,0.00026926229508196715,1000.0,-600.8512848735731,2,-11.961166310310364,12.300301932543515,145.12009286880493
nan,nan,106496,18.236291771847753,0.04633789137005806,0.07778320461511612,0.23867186903953552,0.982177734375,0.33624267578125,31.45369687080383,418.9563680648804,162.7214787364006,52,0.00026864754098360655,1000.0,-593.6653493486734,2,-12.155809047818185,12.278626436647027,147.42895102500916
nan,nan,108544,18.073081477708183,0.02670898474752903,0.07915039360523224,0.22675780951976776,0.9869140386581421,0.3298828125,31.53698036670685,421.907621383667,106.3236122250557,53,0.0002680327868852459,1000.0,-601.0041782311189,2,-11.475973653793336,12.334626454859972,149.65780591964722
nan,nan,110592,17.423194796056485,0.02407226525247097,0.07792969048023224,0.23007813096046448,0.980664074420929,0.32818603515625,31.6479394197464,418.4994837760925,111.96882047653199,54,0.00026741803278688525,1000.0,-592.2189495069942,2,-10.792363947629928,12.361040701251477,151.90936398506165
-599.5790950241711,2.315135312157008,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,155.50663495063782
nan,nan,112640,18.266222795890645,0.055908203125,0.09067382663488388,0.243896484375,0.9900878667831421,0.3451416015625,31.845124530792237,422.25099568367006,121.2064381480217,55,0.0002668032786885246,1000.0,-598.1603787873457,2,-12.381047567725181,12.34658715967089,157.62501502037048
