eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
1107.6861827320256,381.0956631769897,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130.30441117286682
nan,nan,122880,0.03487674772477476,0.10737304389476776,0.08095703274011612,0.09965820610523224,0.12651367485523224,0.10362548828125,0.0052243925412767565,0.041782481744303365,10.0,17.146814978122713,60,0.0002637295081967213,308.55555555555554,871.5695607913204,9,-0.02289022161721732,172.2101242661476,132.2628049850464
nan,nan,124928,0.027215245166735257,0.07578124850988388,0.07114257663488388,0.07958984375,0.08720703423023224,0.07843017578125,0.004520062477240572,0.03358126357197762,10.0,17.082724863290785,61,0.00026311475409836063,242.5,644.9349515514127,8,-0.015932346665067598,257.62790670394895,134.2730631828308
nan,nan,126976,0.04121347801119555,0.11372070014476776,0.10859374701976776,0.12724609673023224,0.14790038764476776,0.124365234375,0.0038931126167881303,0.027278762144851497,10.0,17.234902304410934,62,0.0002625,227.44444444444446,666.2218625670947,9,-0.019278415161534213,72.96091324090958,136.43757009506226
nan,nan,129024,0.0391883512827917,0.13129882514476776,0.1123046875,0.11215820163488388,0.12910155951976776,0.1212158203125,0.007706302328733728,0.05046760524855927,10.0,17.191281849145888,63,0.00026188524590163933,192.0,553.8192448752212,11,-0.017860306645161472,90.51218731403351,138.5577220916748
nan,nan,131072,0.028620533923094625,0.08154296875,0.07294921576976776,0.074951171875,0.10981445014476776,0.084814453125,0.007540731906192377,0.05182207460748032,10.0,17.172133988142015,64,0.0002612704918032787,212.2,592.4805021780201,10,-0.01945286632835632,318.93392345905306,140.76098823547363
584.8133434863244,132.31634325276914,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,141.58373713493347
nan,nan,133120,0.05174753566097934,0.16889648139476776,0.14804688096046448,0.138671875,0.153076171875,0.1521728515625,0.009867952881904785,0.07155771122779697,10.0,17.367870765924454,65,0.000260655737704918,219.77777777777777,640.5420569176945,9,-0.024137481883371947,136.9560757815838,143.60676503181458
nan,nan,135168,0.05577699407076579,0.18349608778953552,0.14882811903953552,0.15327148139476776,0.1787109375,0.16607666015625,0.007750253932317719,0.06553107264335267,10.0,17.290313625335692,66,0.0002600409836065573,500.25,1273.5668251623563,4,-0.012858009100455092,204.98693182468415,145.57572102546692
nan,nan,137216,0.03826588152369368,0.13994140923023224,0.10273437201976776,0.09746094048023224,0.11503906548023224,0.1137939453125,0.006119204658898525,0.0435727757983841,10.0,17.103739166259764,67,0.00025942622950819673,313.7142857142857,688.5408584901952,7,-0.01433728728297865,258.14985287189484,147.52836203575134
nan,nan,139264,0.03497052242018981,0.11166992038488388,0.093017578125,0.09340820461511612,0.12353515625,0.10540771484375,0.0054565687278227415,0.039851384394569325,10.0,17.198514294624328,68,0.000258811475409836,380.6,854.2904331737375,5,-0.016766523304613656,264.7712708711624,149.54983019828796
nan,nan,141312,0.03861367157151108,0.08564452826976776,0.0986328125,0.12094726413488388,0.15664061903953552,0.11546630859375,0.00448865392463631,0.028219032907509246,10.0,17.19322050213814,69,0.00025819672131147537,248.25,585.112053251501,8,-0.02589720986825341,222.75453637838365,151.60058903694153
516.4789120784925,127.75491431366736,141312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,152.5019519329071
nan,nan,143360,0.02919924530942808,0.07167968899011612,0.07387695461511612,0.08940429985523224,0.10854492336511612,0.08587646484375,0.005374048850353574,0.034831392869818956,10.0,17.048664087057112,70,0.0002575819672131147,250.55555555555554,645.6796478538132,9,-0.018314466704941877,251.0892410516739,154.64105224609375
nan,nan,145408,0.04916060025716433,0.16171875596046448,0.13168945908546448,0.13461914658546448,0.14799804985523224,0.14400634765625,0.006132340699696215,0.040744556911522525,10.0,17.206368136405946,71,0.00025696721311475407,757.0,1638.3728367378349,2,-0.0160492493356287,101.77482032775879,156.8083691596985
nan,nan,147456,0.1513583034859039,0.23471680283546448,0.20498046278953552,0.211181640625,0.23613281548023224,0.2217529296875,0.0060133976599900055,0.04696626616641879,10.0,17.67003356218338,72,0.0002563524590163934,421.5,1134.8460117923428,6,-0.003759491282107774,120.18911809325218,158.97733092308044
nan,nan,149504,0.13129055600293213,0.20615234971046448,0.17280273139476776,0.18354491889476776,0.21098633110523224,0.19337158203125,0.005051507474854588,0.02821418893581722,10.0,17.558722484111787,73,0.00025573770491803277,198.3,568.5549628254261,10,-0.009825796248151164,42.77627542316914,160.96912789344788
nan,nan,151552,0.03356964569029515,0.09394530951976776,0.08242187649011612,0.09433593600988388,0.12421874701976776,0.09873046875,0.004523523616808234,0.03266428814094979,10.0,17.158724611997606,74,0.0002551229508196721,305.14285714285717,849.4214817362143,7,-0.019412782367180626,91.59892239570618,163.25248789787292
1065.6511751940393,320.4759196232375,151552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,164.72218203544617
